date,season,home_team,away_team,home_score,away_score,neutral,home_shots,away_shots
2021-08-13,2021-22,M'gladbach,Bayern Munich,1,1,0,11.0,20.0
2021-08-14,2021-22,Augsburg,Hoffenheim,0,4,0,7.0,15.0
2021-08-14,2021-22,Bielefeld,Freiburg,0,0,0,10.0,14.0
2021-08-14,2021-22,Stuttgart,Greuther Furth,5,1,0,30.0,8.0
2021-08-14,2021-22,Union Berlin,Leverkusen,1,1,0,8.0,16.0
2021-08-14,2021-22,Wolfsburg,Bochum,1,0,0,21.0,7.0
2021-08-14,2021-22,Dortmund,Ein Frankfurt,5,2,0,12.0,12.0
2021-08-15,2021-22,Mainz,RB Leipzig,1,0,0,7.0,15.0
2021-08-15,2021-22,FC Koln,Hertha,3,1,0,15.0,11.0
2021-08-20,2021-22,RB Leipzig,Stuttgart,4,0,0,26.0,11.0
2021-08-21,2021-22,Bochum,Mainz,2,0,0,9.0,16.0
2021-08-21,2021-22,Ein Frankfurt,Augsburg,0,0,0,20.0,4.0
2021-08-21,2021-22,Freiburg,Dortmund,2,1,0,8.0,19.0
2021-08-21,2021-22,Greuther Furth,Bielefeld,1,1,0,20.0,9.0
2021-08-21,2021-22,Hertha,Wolfsburg,1,2,0,12.0,12.0
2021-08-21,2021-22,Leverkusen,M'gladbach,4,0,0,13.0,11.0
2021-08-22,2021-22,Hoffenheim,Union Berlin,2,2,0,7.0,11.0
2021-08-22,2021-22,Bayern Munich,FC Koln,3,2,0,18.0,10.0
2021-08-27,2021-22,Dortmund,Hoffenheim,3,2,0,23.0,9.0
2021-08-28,2021-22,Augsburg,Leverkusen,1,4,0,13.0,13.0
2021-08-28,2021-22,Bielefeld,Ein Frankfurt,1,1,0,14.0,12.0
2021-08-28,2021-22,FC Koln,Bochum,2,1,0,21.0,10.0
2021-08-28,2021-22,Mainz,Greuther Furth,3,0,0,17.0,8.0
2021-08-28,2021-22,Stuttgart,Freiburg,2,3,0,17.0,14.0
2021-08-28,2021-22,Bayern Munich,Hertha,5,0,0,17.0,8.0
2021-08-29,2021-22,Union Berlin,M'gladbach,2,1,0,12.0,18.0
2021-08-29,2021-22,Wolfsburg,RB Leipzig,1,0,0,8.0,12.0
2021-09-11,2021-22,Freiburg,FC Koln,1,1,0,10.0,15.0
2021-09-11,2021-22,Greuther Furth,Wolfsburg,0,2,0,7.0,10.0
