player_id,player,team,season,position,age,minutes,goals,assists,feature_cutoff,valuation_date,market_value_eur_m
7161,Jonas Hofmann,Borussia Mönchengladbach,2021-22,MF,29.0,2081,12,5,2022-05-14,2022-06-09,13.0
8246,Philipp Pentke,TSG 1899 Hoffenheim,2021-22,GK,37.0,90,0,0,2022-05-14,2022-06-09,0.3
16922,Kevin-Prince Boateng,Hertha BSC,2021-22,MF,35.0,694,0,0,2022-05-14,2022-06-09,0.9
17259,Manuel Neuer,Bayern Munich,2021-22,GK,36.0,2511,0,0,2022-05-14,2022-06-09,15.0
21726,Philipp Tschauner,RB Leipzig,2021-22,GK,36.0,3,0,0,2022-05-14,2022-06-09,0.3
28947,Gonzalo Castro,Arminia Bielefeld,2021-22,MF,34.0,432,1,1,2022-05-14,2022-06-09,0.5
31653,Tobias Sippel,Borussia Mönchengladbach,2021-22,GK,34.0,90,0,0,2022-05-14,2022-06-09,0.4
32711,Patrick Herrmann,Borussia Mönchengladbach,2021-22,FW,31.0,741,0,5,2022-05-14,2022-06-09,2.3
34787,Julian Baumgartlinger,Bayer 04 Leverkusen,2021-22,MF,34.0,85,0,0,2022-05-14,2022-06-09,0.8
35047,Axel Witsel,Borussia Dortmund,2021-22,MF,33.0,1947,2,0,2022-05-14,2022-06-09,4.0
35207,Marco Reus,Borussia Dortmund,2021-22,MF,32.0,2514,9,17,2022-05-14,2022-06-09,11.0
36182,Max Kruse,1.FC Union Berlin,2021-22,FW,34.0,2420,12,6,2022-05-14,2022-06-09,3.5
36898,Sascha Burchert,SpVgg Greuther Fürth,2021-22,GK,32.0,1260,0,0,2022-05-14,2022-06-09,0.4
38253,Robert Lewandowski,Bayern Munich,2021-22,FW,33.0,2952,35,4,2022-05-14,2022-06-09,45.0
38410,Daniel Caligiuri,FC Augsburg,2021-22,FW,34.0,2016,4,3,2022-05-14,2022-06-09,0.8
39259,Makoto Hasebe,Eintracht Frankfurt,2021-22,DF,38.0,1184,0,0,2022-05-14,2022-06-09,0.8
39728,Mats Hummels,Borussia Dortmund,2021-22,DF,33.0,1767,1,2,2022-05-14,2022-06-09,6.5
40034,Jens Grahl,Eintracht Frankfurt,2021-22,GK,33.0,90,0,0,2022-05-14,2022-06-09,0.2
40074,Stefan Ilsanker,Eintracht Frankfurt,2021-22,MF,32.0,260,0,0,2022-05-14,2022-06-09,1.0
40680,Sven Ulreich,Bayern Munich,2021-22,GK,33.0,540,0,0,2022-05-14,2022-06-09,0.9
40792,Manuel Riemann,VfL Bochum,2021-22,GK,33.0,2769,0,1,2022-05-14,2022-06-09,1.2
41323,Andreas Luthe,1.FC Union Berlin,2021-22,GK,35.0,2430,0,0,2022-05-14,2022-06-09,0.8
41458,Robert Tesche,VfL Bochum,2021-22,MF,34.0,347,0,0,2022-05-14,2022-06-09,0.35
41541,Danny Blum,VfL Bochum,2021-22,FW,31.0,339,2,0,2022-05-14,2022-06-09,0.6
