player_id,player,team,season,position,age,minutes,goals,assists,feature_cutoff,valuation_date,market_value_eur_m
3333,James Milner,Liverpool FC,2021-22,MF,36,211,0,1,2022-05-28,2022-06-15,2.0
3455,Zlatan Ibrahimović,AC Milan,2021-22,FW,40,161,0,0,2022-05-28,2022-06-07,3.0
8198,Cristiano Ronaldo,Manchester United,2021-22,FW,37,612,6,0,2022-05-28,2022-06-15,30.0
12282,Daley Blind,Ajax Amsterdam,2021-22,DF,32,572,1,1,2022-05-28,2022-06-08,9.0
14132,Pepe,FC Porto,2021-22,DF,39,349,0,0,2022-05-28,2022-05-31,1.0
14555,Scott Carson,Manchester City,2021-22,GK,36,17,0,0,2022-05-28,2022-06-15,0.3
15452,Raúl Albiol,Villarreal CF,2021-22,DF,36,1045,0,0,2022-05-28,2022-06-03,3.0
15956,Jesús Navas,Sevilla FC,2021-22,MF,36,333,0,0,2022-05-28,2022-06-03,3.0
16101,Atiba Hutchinson,Beşiktaş Jimnastik Kulübü,2021-22,MF,39,156,0,0,2022-05-28,2022-06-01,0.275
16306,Casemiro,Real Madrid,2021-22,MF,30,914,0,0,2022-05-28,2022-06-03,40.0
17259,Manuel Neuer,Bayern Munich,2021-22,GK,36,810,0,1,2022-05-28,2022-06-09,15.0
18900,Hatem Ben Arfa,LOSC Lille,2021-22,MF,35,22,0,0,2022-05-28,2022-05-30,1.5
18922,Karim Benzema,Real Madrid,2021-22,FW,34,1106,15,2,2022-05-28,2022-06-03,30.0
18944,Gerard Piqué,FC Barcelona,2021-22,DF,35,393,1,0,2022-05-28,2022-06-03,5.0
20005,Papu Gómez,Sevilla FC,2021-22,FW,34,322,0,0,2022-05-28,2022-06-03,6.0
25520,Remko Pasveer,Ajax Amsterdam,2021-22,GK,38,540,0,0,2022-05-28,2022-06-08,0.25
26267,Fernandinho,Manchester City,2021-22,MF,37,347,0,2,2022-05-28,2022-06-15,1.5
27706,Mikhail Kerzhakov,AO FK Zenit Sankt-Peterburg,2021-22,GK,35,180,0,0,2022-05-28,2022-06-02,0.6
27992,Luka Modrić,Real Madrid,2021-22,MF,36,1078,0,4,2022-05-28,2022-06-03,10.0
28003,Lionel Messi,Paris Saint-Germain,2021-22,FW,34,630,5,0,2022-05-28,2022-05-30,50.0
28021,Samir Handanovic,Inter Milan,2021-22,GK,37,720,0,0,2022-05-28,2022-06-07,2.0
28396,Edin Dzeko,Inter Milan,2021-22,FW,36,541,3,1,2022-05-28,2022-06-07,4.0
29241,Thiago Silva,Chelsea FC,2021-22,DF,37,757,0,1,2022-05-28,2022-06-15,2.5
29260,Giorgio Chiellini,Juventus FC,2021-22,DF,37,7,0,0,2022-05-28,2022-06-07,1.5
31909,Toni Kroos,Real Madrid,2021-22,MF,32,902,2,0,2022-05-28,2022-06-03,20.0
32467,Ivan Rakitic,Sevilla FC,2021-22,MF,34,276,2,1,2022-05-28,2022-06-03,7.0
33829,José Fonte,LOSC Lille,2021-22,DF,38,720,0,0,2022-05-28,2022-05-30,0.8
34130,Tom Heaton,Manchester United,2021-22,GK,36,22,0,0,2022-05-28,2022-06-15,0.8
34987,Burak Yilmaz,LOSC Lille,2021-22,FW,36,530,3,0,2022-05-28,2022-05-30,1.5
35047,Axel Witsel,Borussia Dortmund,2021-22,MF,33,472,0,0,2022-05-28,2022-06-09,4.0
35207,Marco Reus,Borussia Dortmund,2021-22,MF,32,499,3,1,2022-05-28,2022-06-09,11.0
36139,Dušan Tadić,Ajax Amsterdam,2021-22,FW,33,630,2,1,2022-05-28,2022-06-08,12.0
37666,Arturo Vidal,Inter Milan,2021-22,MF,35,409,1,2,2022-05-28,2022-06-07,2.0
37838,Dejan Lovren,AO FK Zenit Sankt-Peterburg,2021-22,DF,32,315,0,0,2022-05-28,2022-06-02,4.5
38253,Robert Lewandowski,Bayern Munich,2021-22,FW,33,876,13,3,2022-05-28,2022-06-09,45.0
39381,Gareth Bale,Real Madrid,2021-22,FW,32,7,0,0,2022-05-28,2022-06-03,3.0
