player,team,season,position,age,minutes,goals,assists
Abdallah Sima,Stade Brestois 29,2024-25,FW,23,508,3,0
Abdoulaye Ndiaye,Stade Brestois 29,2024-25,DF,23,180,0,0
Abdu Conté,BSC Young Boys,2024-25,DF,27,27,0,0
Abdukodir Khusanov,Manchester City,2024-25,DF,21,90,0,0
Abel Ruiz,Girona FC,2024-25,FW,25,146,0,0
Achraf Hakimi,Paris Saint-Germain,2024-25,DF,26,1540,4,5
Adam Aznou,Bayern Munich,2024-25,DF,18,2,0,0
Adam Daghim,Fußballclub Red Bull Salzburg,2024-25,FW,19,393,1,0
Adam Idah,Celtic FC,2024-25,FW,24,338,3,0
Adam Sevinsky,AC Sparta Prague,2024-25,DF,20,90,0,0
Adamo Nagalo,PSV Eindhoven,2024-25,DF,22,145,0,0
Ademola Lookman,Atalanta BC,2024-25,FW,27,482,5,2
Afonso Moreira,Sporting CP,2024-25,FW,20,34,0,0
Alaa Ghram,FC Shakhtar Donetsk,2024-25,DF,23,135,0,0
Alan Virginius,BSC Young Boys,2024-25,MF,22,298,0,1
Albion Rrahmani,AC Sparta Prague,2024-25,FW,24,327,1,0
Aleix García,Bayer 04 Leverkusen,2024-25,MF,27,363,1,0
Alejandro Balde,FC Barcelona,2024-25,DF,21,804,0,4
Alejandro Francés,Girona FC,2024-25,DF,22,435,0,0
Alejandro Grimaldo,Bayer 04 Leverkusen,2024-25,DF,29,871,2,1
Aleksa Terzic,Fußballclub Red Bull Salzburg,2024-25,DF,25,402,0,0
Aleksandar Katai,Red Star Belgrade,2024-25,MF,34,24,0,0
Aleksandar Pavlovic,Bayern Munich,2024-25,MF,21,291,0,1
Aleksandr Golovin,AS Monaco,2024-25,MF,29,577,0,1
Alessandro Bastoni,Inter Milan,2024-25,DF,26,1079,0,1
Alexander Bah,SL Benfica,2024-25,DF,27,500,1,1
Alexander Meyer,Borussia Dortmund,2024-25,GK,34,90,0,0
Alexander Nübel,VfB Stuttgart,2024-25,GK,28,630,0,0
Alexander Schlager,Fußballclub Red Bull Salzburg,2024-25,GK,29,336,0,1
Alexander Sørloth,Atlético de Madrid,2024-25,FW,29,290,0,0
Alexandre Brito,Sporting CP,2024-25,MF,19,45,0,0
Alexis Mac Allister,Liverpool FC,2024-25,MF,26,676,2,0
Alexsandro,LOSC Lille,2024-25,DF,25,900,0,1
