date,season,home_team,away_team,home_score,away_score,neutral,home_shots,away_shots
2021-08-13,2021-22,Valencia,Getafe,1,0,0,4,22
2021-08-14,2021-22,Cadiz,Levante,1,1,0,7,12
2021-08-14,2021-22,Mallorca,Betis,1,1,0,6,10
2021-08-14,2021-22,Alaves,Real Madrid,1,4,0,11,19
2021-08-14,2021-22,Osasuna,Espanol,0,0,0,14,10
2021-08-15,2021-22,Celta,Ath Madrid,1,2,0,10,13
2021-08-15,2021-22,Barcelona,Sociedad,4,2,0,13,11
2021-08-15,2021-22,Sevilla,Vallecano,3,0,0,21,4
2021-08-16,2021-22,Villarreal,Granada,0,0,0,14,6
2021-08-16,2021-22,Elche,Ath Bilbao,0,0,0,8,9
2021-08-20,2021-22,Betis,Cadiz,1,1,0,16,8
2021-08-21,2021-22,Alaves,Mallorca,0,1,0,9,12
2021-08-21,2021-22,Espanol,Villarreal,0,0,0,14,12
2021-08-21,2021-22,Granada,Valencia,1,1,0,9,18
2021-08-21,2021-22,Ath Bilbao,Barcelona,1,1,0,16,9
2021-08-22,2021-22,Sociedad,Vallecano,1,0,0,13,9
2021-08-22,2021-22,Ath Madrid,Elche,1,0,0,8,4
2021-08-22,2021-22,Levante,Real Madrid,3,3,0,8,19
2021-08-23,2021-22,Getafe,Sevilla,0,1,0,12,9
2021-08-23,2021-22,Osasuna,Celta,0,0,0,15,4
2021-08-27,2021-22,Mallorca,Espanol,1,0,0,12,8
2021-08-27,2021-22,Valencia,Alaves,3,0,0,9,10
2021-08-28,2021-22,Celta,Ath Bilbao,0,1,0,13,6
2021-08-28,2021-22,Elche,Sevilla,1,1,0,7,18
2021-08-28,2021-22,Sociedad,Levante,1,0,0,7,6
2021-08-28,2021-22,Betis,Real Madrid,0,1,0,11,13
2021-08-29,2021-22,Barcelona,Getafe,2,1,0,7,8
2021-08-29,2021-22,Cadiz,Osasuna,2,3,0,7,14
2021-08-29,2021-22,Vallecano,Granada,4,0,0,19,9
2021-08-29,2021-22,Ath Madrid,Villarreal,2,2,0,24,2
2021-09-11,2021-22,Levante,Vallecano,1,1,0,7,22
2021-09-11,2021-22,Ath Bilbao,Mallorca,2,0,0,19,7
2021-09-12,2021-22,Espanol,Ath Madrid,1,2,0,9,13
2021-09-12,2021-22,Osasuna,Valencia,1,4,0,11,10
2021-09-12,2021-22,Cadiz,Sociedad,0,2,0,6,16
2021-09-12,2021-22,Real Madrid,Celta,5,2,0,15,11
2021-09-13,2021-22,Getafe,Elche,0,1,0,10,8
2021-09-13,2021-22,Granada,Betis,1,2,0,11,19
2021-09-17,2021-22,Celta,Cadiz,1,2,0,14,7
2021-09-18,2021-22,Vallecano,Getafe,3,0,0,11,13
2021-09-18,2021-22,Ath Madrid,Ath Bilbao,0,0,0,14,6
2021-09-18,2021-22,Elche,Levante,1,1,0,9,11
2021-09-18,2021-22,Alaves,Osasuna,0,2,0,8,13
2021-09-19,2021-22,Mallorca,Villarreal,0,0,0,10,11
2021-09-19,2021-22,Sociedad,Sevilla,0,0,0,11,11
2021-09-19,2021-22,Betis,Espanol,2,2,0,23,11
2021-09-19,2021-22,Valencia,Real Madrid,1,2,0,12,18
2021-09-20,2021-22,Barcelona,Granada,1,1,0,17,5
2021-09-21,2021-22,Getafe,Ath Madrid,1,2,0,7,12
2021-09-21,2021-22,Ath Bilbao,Vallecano,1,2,0,8,8
2021-09-21,2021-22,Levante,Celta,0,2,0,6,4
2021-09-22,2021-22,Espanol,Alaves,1,0,0,10,8
2021-09-22,2021-22,Sevilla,Valencia,3,1,0,11,8
2021-09-22,2021-22,Real Madrid,Mallorca,6,1,0,18,17
2021-09-22,2021-22,Villarreal,Elche,4,1,0,14,9
2021-09-23,2021-22,Granada,Sociedad,2,3,0,10,20
2021-09-23,2021-22,Osasuna,Betis,1,3,0,11,16
2021-09-23,2021-22,Cadiz,Barcelona,0,0,0,13,6
2021-09-25,2021-22,Alaves,Ath Madrid,1,0,0,7,13
2021-09-25,2021-22,Valencia,Ath Bilbao,1,1,0,13,12
2021-09-25,2021-22,Sevilla,Espanol,2,0,0,12,13
2021-09-25,2021-22,Real Madrid,Villarreal,0,0,0,15,6
2021-09-26,2021-22,Mallorca,Osasuna,2,3,0,17,12
2021-09-26,2021-22,Barcelona,Levante,3,0,0,20,6
2021-09-26,2021-22,Sociedad,Elche,1,0,0,17,5
2021-09-26,2021-22,Vallecano,Cadiz,3,1,0,13,6
2021-09-26,2021-22,Betis,Getafe,2,0,0,20,8
2021-09-27,2021-22,Celta,Granada,1,0,0,14,7
2021-10-01,2021-22,Ath Bilbao,Alaves,1,0,0,16,17
2021-10-02,2021-22,Osasuna,Vallecano,1,0,0,7,7
2021-10-02,2021-22,Mallorca,Levante,1,0,0,9,6
2021-10-02,2021-22,Cadiz,Valencia,0,0,0,2,16
2021-10-02,2021-22,Ath Madrid,Barcelona,2,0,0,6,9
2021-10-03,2021-22,Elche,Celta,1,0,0,12,10
2021-10-03,2021-22,Espanol,Real Madrid,2,1,0,8,18
2021-10-03,2021-22,Getafe,Sociedad,1,1,0,9,10
2021-10-03,2021-22,Villarreal,Betis,2,0,0,11,10
2021-10-03,2021-22,Granada,Sevilla,1,0,0,3,14
2021-10-16,2021-22,Levante,Getafe,0,0,0,6,14
2021-10-16,2021-22,Sociedad,Mallorca,1,0,0,10,7
2021-10-17,2021-22,Vallecano,Elche,2,1,0,10,7
2021-10-17,2021-22,Celta,Sevilla,0,1,0,14,8
2021-10-17,2021-22,Villarreal,Osasuna,1,2,0,11,6
2021-10-17,2021-22,Barcelona,Valencia,3,1,0,12,9
2021-10-18,2021-22,Alaves,Betis,0,1,0,14,19
2021-10-18,2021-22,Espanol,Cadiz,2,0,0,14,13
2021-10-22,2021-22,Osasuna,Granada,1,1,0,17,9
2021-10-23,2021-22,Valencia,Mallorca,2,2,0,20,9
2021-10-23,2021-22,Cadiz,Alaves,0,2,0,23,8
2021-10-23,2021-22,Elche,Espanol,2,2,0,12,20
2021-10-23,2021-22,Ath Bilbao,Villarreal,2,1,0,14,11
2021-10-24,2021-22,Sevilla,Levante,5,3,0,18,12
2021-10-24,2021-22,Barcelona,Real Madrid,1,2,0,12,10
2021-10-24,2021-22,Betis,Vallecano,3,2,0,11,14
2021-10-24,2021-22,Ath Madrid,Sociedad,2,2,0,17,8
2021-10-25,2021-22,Getafe,Celta,0,3,0,11,16
2021-10-26,2021-22,Alaves,Elche,1,0,0,16,4
2021-10-26,2021-22,Espanol,Ath Bilbao,1,1,0,14,23
2021-10-26,2021-22,Villarreal,Cadiz,3,3,0,14,9
2021-10-27,2021-22,Mallorca,Sevilla,1,1,0,11,10
2021-10-27,2021-22,Vallecano,Barcelona,1,0,0,13,16
2021-10-27,2021-22,Betis,Valencia,4,1,0,14,10
2021-10-27,2021-22,Real Madrid,Osasuna,0,0,0,17,7
2021-10-28,2021-22,Celta,Sociedad,0,2,0,14,11
2021-10-28,2021-22,Granada,Getafe,1,1,0,18,6
2021-10-28,2021-22,Levante,Ath Madrid,2,2,0,10,7
2021-10-30,2021-22,Elche,Real Madrid,1,2,0,13,17
2021-10-30,2021-22,Sevilla,Osasuna,2,0,0,16,10
2021-10-30,2021-22,Valencia,Villarreal,2,0,0,9,11
2021-10-30,2021-22,Barcelona,Alaves,1,1,0,16,3
2021-10-31,2021-22,Cadiz,Mallorca,1,1,0,13,11
2021-10-31,2021-22,Ath Madrid,Betis,3,0,0,18,8
2021-10-31,2021-22,Getafe,Espanol,2,1,0,12,10
2021-10-31,2021-22,Sociedad,Ath Bilbao,1,1,0,8,11
2021-11-01,2021-22,Vallecano,Celta,0,0,0,11,10
2021-11-01,2021-22,Levante,Granada,0,3,0,12,12
2021-11-05,2021-22,Ath Bilbao,Cadiz,0,1,0,15,8
2021-11-06,2021-22,Espanol,Granada,2,0,0,17,18
2021-11-06,2021-22,Celta,Barcelona,3,3,0,18,10
2021-11-06,2021-22,Alaves,Levante,2,1,0,10,12
2021-11-06,2021-22,Real Madrid,Vallecano,2,1,0,15,19
2021-11-07,2021-22,Villarreal,Getafe,1,0,0,10,5
2021-11-07,2021-22,Valencia,Ath Madrid,3,3,0,11,13
2021-11-07,2021-22,Mallorca,Elche,2,2,0,18,7
2021-11-07,2021-22,Osasuna,Sociedad,0,2,0,6,9
2021-11-07,2021-22,Betis,Sevilla,0,2,0,8,11
2021-11-19,2021-22,Levante,Ath Bilbao,0,0,0,15,7
2021-11-20,2021-22,Celta,Villarreal,1,1,0,12,18
2021-11-20,2021-22,Sevilla,Alaves,2,2,0,16,8
2021-11-20,2021-22,Ath Madrid,Osasuna,1,0,0,15,9
2021-11-20,2021-22,Barcelona,Espanol,1,0,0,16,12
2021-11-21,2021-22,Getafe,Cadiz,4,0,0,17,10
2021-11-21,2021-22,Granada,Real Madrid,1,4,0,11,21
2021-11-21,2021-22,Elche,Betis,0,3,0,14,9
2021-11-21,2021-22,Sociedad,Valencia,0,0,0,9,8
2021-11-22,2021-22,Vallecano,Mallorca,3,1,0,15,11
2021-11-26,2021-22,Ath Bilbao,Granada,2,2,0,17,8
2021-11-27,2021-22,Alaves,Celta,1,2,0,13,8
2021-11-27,2021-22,Valencia,Vallecano,1,1,0,8,12
2021-11-27,2021-22,Mallorca,Getafe,0,0,0,12,11
2021-11-27,2021-22,Villarreal,Barcelona,1,3,0,14,12
2021-11-28,2021-22,Betis,Levante,3,1,0,26,8
2021-11-28,2021-22,Espanol,Sociedad,1,0,0,8,10
2021-11-28,2021-22,Cadiz,Ath Madrid,1,4,0,8,17
2021-11-28,2021-22,Real Madrid,Sevilla,2,1,0,14,11
2021-11-29,2021-22,Osasuna,Elche,1,1,0,17,10
2021-12-01,2021-22,Real Madrid,Ath Bilbao,1,0,0,17,18
2021-12-03,2021-22,Granada,Alaves,2,1,0,9,14
2021-12-04,2021-22,Sevilla,Villarreal,1,0,0,8,16
2021-12-04,2021-22,Barcelona,Betis,0,1,0,12,8
2021-12-04,2021-22,Ath Madrid,Mallorca,1,2,0,14,10
2021-12-04,2021-22,Sociedad,Real Madrid,0,2,0,11,13
2021-12-05,2021-22,Vallecano,Espanol,1,0,0,7,10
2021-12-05,2021-22,Elche,Cadiz,3,1,0,8,15
2021-12-05,2021-22,Levante,Osasuna,0,0,0,11,11
2021-12-05,2021-22,Celta,Valencia,1,2,0,11,8
2021-12-06,2021-22,Getafe,Ath Bilbao,0,0,0,17,9
2021-12-10,2021-22,Mallorca,Celta,0,0,0,12,14
2021-12-11,2021-22,Espanol,Levante,4,3,0,17,14
2021-12-11,2021-22,Alaves,Getafe,1,1,0,9,11
2021-12-11,2021-22,Valencia,Elche,2,1,0,21,8
2021-12-11,2021-22,Ath Bilbao,Sevilla,0,1,0,13,6
2021-12-12,2021-22,Villarreal,Vallecano,2,0,0,13,19
2021-12-12,2021-22,Osasuna,Barcelona,2,2,0,8,10
2021-12-12,2021-22,Betis,Sociedad,4,0,0,11,15
2021-12-12,2021-22,Real Madrid,Ath Madrid,2,0,0,7,9
2021-12-13,2021-22,Cadiz,Granada,1,1,0,13,16
2021-12-17,2021-22,Celta,Espanol,3,1,0,12,6
2021-12-18,2021-22,Vallecano,Alaves,2,0,0,20,6
2021-12-18,2021-22,Sociedad,Villarreal,1,3,0,8,15
2021-12-18,2021-22,Barcelona,Elche,3,2,0,19,5
2021-12-18,2021-22,Sevilla,Ath Madrid,2,1,0,6,15
2021-12-19,2021-22,Granada,Mallorca,4,1,0,15,8
2021-12-19,2021-22,Ath Bilbao,Betis,3,2,0,9,16
2021-12-19,2021-22,Getafe,Osasuna,1,0,0,18,11
2021-12-19,2021-22,Real Madrid,Cadiz,0,0,0,36,4
2021-12-20,2021-22,Levante,Valencia,3,4,0,15,15
2021-12-21,2021-22,Villarreal,Alaves,5,2,0,24,4
2021-12-21,2021-22,Sevilla,Barcelona,1,1,0,5,23
2021-12-22,2021-22,Granada,Ath Madrid,2,1,0,6,15
2021-12-22,2021-22,Ath Bilbao,Real Madrid,1,2,0,15,12
2021-12-31,2021-22,Valencia,Espanol,1,2,0,12,15
2022-01-02,2021-22,Getafe,Real Madrid,1,0,0,6,14
2022-01-02,2021-22,Ath Madrid,Vallecano,2,0,0,15,5
2022-01-02,2021-22,Elche,Granada,0,0,0,18,10
2022-01-02,2021-22,Alaves,Sociedad,1,1,0,19,10
2022-01-02,2021-22,Betis,Celta,0,2,0,18,7
2022-01-02,2021-22,Mallorca,Barcelona,0,1,0,13,13
2022-01-03,2021-22,Villarreal,Levante,5,0,0,17,7
2022-01-03,2021-22,Osasuna,Ath Bilbao,1,3,0,15,17
2022-01-03,2021-22,Cadiz,Sevilla,0,1,0,9,14
2022-01-08,2021-22,Levante,Mallorca,2,0,0,16,15
2022-01-08,2021-22,Sociedad,Celta,1,0,0,12,4
2022-01-08,2021-22,Granada,Barcelona,1,1,0,14,13
2022-01-08,2021-22,Real Madrid,Valencia,4,1,0,23,12
2022-01-09,2021-22,Vallecano,Betis,1,1,0,17,9
2022-01-09,2021-22,Sevilla,Getafe,1,0,0,10,4
2022-01-09,2021-22,Alaves,Ath Bilbao,0,0,0,12,10
2022-01-09,2021-22,Osasuna,Cadiz,2,0,0,15,6
2022-01-09,2021-22,Villarreal,Ath Madrid,2,2,0,13,7
2022-01-10,2021-22,Espanol,Elche,1,2,0,8,3
2022-01-16,2021-22,Elche,Villarreal,1,0,0,5,9
2022-01-18,2021-22,Betis,Alaves,4,0,0,18,9
2022-01-18,2021-22,Cadiz,Espanol,2,2,0,10,14
