player_id,player,team,season,position,age,minutes,goals,assists,feature_cutoff,valuation_date,market_value_eur_m
7663,Joaquín,Real Betis Balompié,2021-22,FW,40,456,0,1,2022-05-22,2022-06-03,1.5
8176,Oier Olazábal,RCD Espanyol Barcelona,2021-22,GK,32,135,0,0,2022-05-22,2022-06-03,0.3
15452,Raúl Albiol,Villarreal CF,2021-22,DF,36,2466,0,0,2022-05-22,2022-06-03,3.0
15951,Dani Alves,FC Barcelona,2021-22,DF,39,1104,1,3,2022-05-22,2022-06-03,1.0
15956,Jesús Navas,Sevilla FC,2021-22,MF,36,1786,0,3,2022-05-22,2022-06-03,3.0
16306,Casemiro,Real Madrid,2021-22,MF,30,2576,1,4,2022-05-22,2022-06-03,40.0
18644,Álvaro Negredo,Cádiz CF,2021-22,FW,36,2159,7,2,2022-05-22,2022-06-03,1.5
18922,Karim Benzema,Real Madrid,2021-22,FW,34,2603,27,12,2022-05-22,2022-06-03,30.0
18944,Gerard Piqué,FC Barcelona,2021-22,DF,35,2096,1,0,2022-05-22,2022-06-03,5.0
20005,Papu Gómez,Sevilla FC,2021-22,FW,34,1787,5,1,2022-05-22,2022-06-03,6.0
20506,Andrés Guardado,Real Betis Balompié,2021-22,MF,35,1395,0,1,2022-05-22,2022-06-03,1.5
27486,Kiko Casilla,Elche CF,2021-22,GK,35,1260,0,0,2022-05-22,2022-06-03,0.7
27992,Luka Modrić,Real Madrid,2021-22,MF,36,2046,2,8,2022-05-22,2022-06-03,10.0
29051,Manolo Reina,RCD Mallorca,2021-22,GK,37,1890,0,0,2022-05-22,2022-06-03,0.2
30321,Óscar Trejo,Rayo Vallecano,2021-22,MF,34,2022,3,9,2022-05-22,2022-06-03,3.0
31909,Toni Kroos,Real Madrid,2021-22,MF,32,2107,1,3,2022-05-22,2022-06-03,20.0
32467,Ivan Rakitic,Sevilla FC,2021-22,MF,34,2187,4,6,2022-05-22,2022-06-03,7.0
32522,Antonio Barragán,Elche CF,2021-22,DF,34,1022,0,0,2022-05-22,2022-06-03,0.6
34370,Diego López (34370),RCD Espanyol Barcelona,2021-22,GK,40,3178,0,0,2022-05-22,2022-06-03,0.5
34601,Raúl García (34601),Athletic Bilbao,2021-22,FW,35,1818,6,3,2022-05-22,2022-06-03,2.5
34870,Roberto Soldado,Levante UD,2021-22,FW,36,662,3,2,2022-05-22,2022-06-03,1.0
35518,David Silva,Real Sociedad,2021-22,MF,36,1733,2,6,2022-05-22,2022-06-03,4.0
37337,Mario Suárez,Rayo Vallecano,2021-22,DF,35,709,0,0,2022-05-22,2022-06-03,0.3
39152,Radamel Falcao,Rayo Vallecano,2021-22,FW,36,831,6,0,2022-05-22,2022-06-03,2.0
39381,Gareth Bale,Real Madrid,2021-22,FW,32,283,1,0,2022-05-22,2022-06-03,3.0
40423,Claudio Bravo,Real Betis Balompié,2021-22,GK,39,1457,0,0,2022-05-22,2022-06-03,1.0
42920,Fran Mérida,RCD Espanyol Barcelona,2021-22,MF,32,263,0,0,2022-05-22,2022-06-03,0.9
44352,Luis Suárez (44352),Atlético de Madrid,2021-22,FW,35,1835,11,3,2022-05-22,2022-06-03,8.0
44501,Marcelo,Real Madrid,2021-22,DF,34,523,0,2,2022-05-22,2022-06-03,3.0
46413,Ante Budimir,CA Osasuna,2021-22,FW,30,1740,8,2,2022-05-22,2022-06-03,6.0
50202,Eden Hazard,Real Madrid,2021-22,FW,31,713,0,1,2022-05-22,2022-06-03,12.0
51174,Fernando,Sevilla FC,2021-22,MF,34,1850,1,1,2022-05-22,2022-06-03,4.0
51510,Ángel Rodríguez,RCD Mallorca,2021-22,FW,35,1549,4,3,2022-05-22,2022-06-03,2.0
51710,Sergio Asenjo,Villarreal CF,2021-22,GK,32,540,0,0,2022-05-22,2022-06-03,4.0
54235,Iker Muniain,Athletic Bilbao,2021-22,FW,29,2803,4,11,2022-05-22,2022-06-03,16.0
54935,Martín Cáceres,Levante UD,2021-22,DF,35,669,0,0,2022-05-22,2022-06-03,0.9
55215,Javier Pastore,Elche CF,2021-22,MF,32,523,0,0,2022-05-22,2022-06-03,0.9
56067,Pablo Piatti,Elche CF,2021-22,FW,33,308,0,0,2022-05-22,2022-06-03,1.0
57825,Jorge Molina,Granada CF,2021-22,FW,40,1959,10,5,2022-05-22,2022-06-03,1.5
58330,Víctor Díaz,Granada CF,2021-22,DF,33,1504,1,0,2022-05-22,2022-06-03,0.7
58799,Salva Sevilla,RCD Mallorca,2021-22,MF,38,1512,5,3,2022-05-22,2022-06-03,0.3
58864,Pierre-Emerick Aubameyang,FC Barcelona,2021-22,FW,32,1092,11,1,2022-05-22,2022-06-03,15.0
58884,Nacho Fernández,Real Madrid,2021-22,DF,32,1549,3,0,2022-05-22,2022-06-03,7.0
59016,David Alaba,Real Madrid,2021-22,DF,29,2644,2,3,2022-05-22,2022-06-03,55.0
59344,Asier Illarramendi,Real Sociedad,2021-22,MF,32,377,0,0,2022-05-22,2022-06-03,3.0
59551,Ángel Montoro,Granada CF,2021-22,MF,33,1330,1,1,2022-05-22,2022-06-03,1.0
59561,Dani Parejo,Villarreal CF,2021-22,MF,33,2710,2,10,2022-05-22,2022-06-03,9.0
60410,Marcos Acuña,Sevilla FC,2021-22,DF,30,2264,1,3,2022-05-22,2022-06-03,18.0
60542,Maxime Gonalons,Granada CF,2021-22,MF,33,1556,0,2,2022-05-22,2022-06-03,1.8
61812,Yuri Berchiche,Athletic Bilbao,2021-22,DF,32,1016,1,2,2022-05-22,2022-06-03,3.0
62920,Víctor Ruiz,Real Betis Balompié,2021-22,DF,33,1425,0,0,2022-05-22,2022-06-03,1.5
62945,Luis Hernández,Cádiz CF,2021-22,DF,33,1365,0,0,2022-05-22,2022-06-03,0.8
63040,Oier Sanjurjo,CA Osasuna,2021-22,MF,35,750,1,0,2022-05-22,2022-06-03,0.5
63056,Roberto Torres,CA Osasuna,2021-22,MF,33,794,2,2,2022-05-22,2022-06-03,3.0
63463,Daniel Wass,Valencia CF,2021-22,MF,32,1637,1,1,2022-05-22,2022-06-03,6.0
63494,Étienne Capoue,Villarreal CF,2021-22,MF,33,2297,1,1,2022-05-22,2022-06-03,3.0
64134,Néstor Araújo,Celta de Vigo,2021-22,DF,30,2619,0,0,2022-05-22,2022-06-03,4.0
65230,Sergio Busquets,FC Barcelona,2021-22,MF,33,3202,2,0,2022-05-22,2022-06-03,9.0
65318,Jaume Costa,RCD Mallorca,2021-22,DF,34,1833,0,4,2022-05-22,2022-06-03,1.2
65467,Vicente Iborra,Villarreal CF,2021-22,MF,34,1031,0,1,2022-05-22,2022-06-03,2.0
66106,Sergio Canales,Real Betis Balompié,2021-22,MF,31,2803,5,8,2022-05-22,2022-06-03,20.0
67080,Víctor Laguardia,Deportivo Alavés,2021-22,DF,32,3044,3,2,2022-05-22,2022-06-03,2.0
67082,Vitolo,Getafe CF,2021-22,FW,32,216,0,0,2022-05-22,2022-06-03,1.5
67089,Juan Cala,Cádiz CF,2021-22,DF,32,946,0,0,2022-05-22,2022-06-03,0.9
67090,Dídac Vilà,RCD Espanyol Barcelona,2021-22,DF,32,196,0,0,2022-05-22,2022-06-03,0.6
67548,Rubén Rochina,Granada CF,2021-22,FW,31,739,1,3,2022-05-22,2022-06-03,2.5
68645,Martín Montoya,Real Betis Balompié,2021-22,DF,31,518,0,1,2022-05-22,2022-06-03,1.5
69660,Jonás Ramalho,CA Osasuna,2021-22,DF,28,245,0,0,2022-05-22,2022-06-03,0.8
69751,Jordi Alba,FC Barcelona,2021-22,DF,33,2648,2,10,2022-05-22,2022-06-03,9.0
70934,Nolito,Celta de Vigo,2021-22,FW,35,1383,2,0,2022-05-22,2022-06-03,1.2
71579,Iñigo Pérez,CA Osasuna,2021-22,MF,34,336,1,0,2022-05-22,2022-06-03,0.6
71905,Coke,Levante UD,2021-22,DF,35,114,1,0,2022-05-22,2022-06-03,0.6
72047,Iago Aspas,Celta de Vigo,2021-22,FW,34,3095,18,6,2022-05-22,2022-06-03,7.0
72479,Clément Grenier,RCD Mallorca,2021-22,MF,31,56,1,0,2022-05-22,2022-06-03,1.0
72522,Luuk de Jong,FC Barcelona,2021-22,FW,31,643,6,0,2022-05-22,2022-06-03,4.0
73185,Lucas Pérez,Elche CF,2021-22,FW,33,2340,5,3,2022-05-22,2022-06-03,2.5
73250,Mario Gaspar,Villarreal CF,2021-22,DF,31,621,0,0,2022-05-22,2022-06-03,3.0
74229,Koke,Atlético de Madrid,2021-22,MF,30,2509,1,2,2022-05-22,2022-06-03,25.0
74294,Nemanja Gudelj,Sevilla FC,2021-22,MF,30,1040,0,0,2022-05-22,2022-06-03,4.0
74857,Marc-André ter Stegen,FC Barcelona,2021-22,GK,30,3150,0,0,2022-05-22,2022-06-03,30.0
74869,Francis Coquelin,Villarreal CF,2021-22,MF,31,825,2,1,2022-05-22,2022-06-03,5.0
76061,Sime Vrsaljko,Atlético de Madrid,2021-22,DF,30,909,1,2,2022-05-22,2022-06-03,5.0
76746,Damián Suárez,Getafe CF,2021-22,DF,34,2720,0,3,2022-05-22,2022-06-03,1.5
80293,Aïssa Mandi,Villarreal CF,2021-22,DF,30,1374,1,0,2022-05-22,2022-06-03,6.0
80444,Philippe Coutinho,FC Barcelona,2021-22,MF,29,502,2,0,2022-05-22,2022-06-15,20.0
