player,team,season,position,age,minutes,goals,assists,shots,key_passes,dribbles,tackles,interceptions
Abde Ezzalzouli,Betis,2024-25,FW,22.0,1984,2,2,61,27,46,37,7
Abdel Abqar,Alavés,2024-25,DF,25.0,2463,0,1,12,8,3,36,39
Abderrahman Rebbach,Alavés,2024-25,FW,25.0,385,0,0,6,6,3,3,0
Abdoulaye Keita,Getafe,2024-25,FW,21.0,95,0,0,2,0,1,2,0
Abdul Mumin,Rayo Vallecano,2024-25,DF,26.0,2017,2,1,10,1,5,37,23
Abdón Prats,Mallorca,2024-25,FW,31.0,456,2,0,13,3,1,2,1
Abel,Osasuna,2024-25,DF,23.0,2074,2,0,12,16,18,61,18
Abel Ruiz,Girona,2024-25,FW,24.0,1346,4,0,21,8,7,6,5
Aboubacar Bassinga,Las Palmas,2024-25,MF,19.0,4,0,0,0,0,0,0,0
Adam Aznou,Valladolid,2024-25,DF,18.0,876,0,0,4,6,19,28,10
Adama Boiro,Athletic Club,2024-25,DF,22.0,1101,0,0,5,5,8,20,12
Adnan Januzaj,Las Palmas,2024-25,MF,29.0,598,2,1,16,17,14,10,2
Adri Embarba,Rayo Vallecano,2024-25,FW,32.0,1607,1,1,37,20,20,41,13
Adrian Baquerin,Valladolid,2024-25,FW,17.0,49,0,0,3,0,0,1,0
Adrian Niño,Atlético Madrid,2024-25,FW,20.0,12,0,0,2,0,0,0,0
Adrian Rodriguez,Alavés,2024-25,GK,23.0,122,0,0,0,0,0,0,0
Adrià Altimira,Leganés,2024-25,DF,23.0,1630,0,0,7,11,10,41,15
Adrià Pedrosa,Sevilla,2024-25,DF,26.0,2298,1,1,24,20,17,56,24
Adrián,Betis,2024-25,GK,37.0,1710,0,0,0,0,0,0,0
Adu Ares,Athletic Club,2024-25,FW,22.0,19,0,0,0,0,0,0,0
Aihen Muñoz,Real Sociedad,2024-25,DF,26.0,1098,0,0,6,3,7,24,14
Aimar Oroz,Osasuna,2024-25,MF,22.0,2966,5,4,47,41,49,35,20
Aingeru Olabarrieta,Athletic Club,2024-25,FW,18.0,54,0,0,0,0,1,0,1
Aitor Fernández,Osasuna,2024-25,GK,33.0,90,0,0,0,0,0,0,0
Aitor Paredes,Athletic Club,2024-25,DF,24.0,1812,3,0,6,2,0,15,22
Aitor Ruibal,Betis,2024-25,DF,28.0,1313,1,3,16,20,14,32,14
Akor Adams,Sevilla,2024-25,FW,24.0,134,0,0,2,0,1,0,0
Albert Sambi Lokonga,Sevilla,2024-25,MF,24.0,1471,0,2,13,19,4,22,9
Alberto Marí,Valencia,2024-25,FW,23.0,7,0,0,0,0,0,0,0
Alberto Moleiro,Las Palmas,2024-25,FW,20.0,2714,6,1,68,41,64,27,18
Alberto Risco,Getafe,2024-25,MF,18.0,69,0,0,4,4,1,4,0
Alejandro Balde,Barcelona,2024-25,DF,20.0,2284,0,4,12,26,46,18,5
Alejandro Francés,Girona,2024-25,DF,21.0,1173,0,0,6,4,7,36,17
Alejo Véliz,Espanyol,2024-25,FW,20.0,1127,1,0,19,3,1,1,4
Aleksandar Sedlar,Alavés,2024-25,DF,32.0,594,0,0,1,0,0,18,10
Alex Baena,Villarreal,2024-25,MF,23.0,2595,7,9,69,95,21,28,22
Alex Král,Espanyol,2024-25,MF,26.0,2714,0,1,21,12,29,55,28
Alex Padilla,Athletic Club,2024-25,GK,20.0,321,0,0,0,0,0,0,0
Alex Sola,Getafe,2024-25,MF,25.0,1029,0,1,15,9,21,21,7
Alexander Sørloth,Atlético Madrid,2024-25,FW,28.0,1566,20,2,78,13,14,9,1
Alfon,Celta Vigo,2024-25,FW,25.0,1371,5,2,46,24,25,8,5
Alfonso Espino,Rayo Vallecano,2024-25,DF,32.0,833,0,1,10,5,5,41,12
Alfonso Pedraza,Villarreal,2024-25,DF,28.0,460,0,2,5,9,9,3,6
Allan Nyom,Getafe,2024-25,DF,36.0,887,1,2,9,5,4,18,4
Amath,Valladolid,2024-25,FW,28.0,375,0,1,5,6,7,2,2
Anastasios Douvikas,Celta Vigo,2024-25,FW,24.0,700,3,1,17,3,4,9,3
Ander Barrenetxea,Real Sociedad,2024-25,MF,22.0,1263,1,3,25,16,26,26,11
