date,season,home_team,away_team,home_score,away_score,neutral,home_shots,away_shots
2021-08-06,2021-22,Monaco,Nantes,1,1,0,15,5
2021-08-07,2021-22,Lyon,Brest,1,1,0,17,13
2021-08-07,2021-22,Troyes,Paris SG,1,2,0,15,12
2021-08-08,2021-22,Rennes,Lens,1,1,0,10,11
2021-08-08,2021-22,Bordeaux,Clermont,0,2,0,10,19
2021-08-08,2021-22,Nice,Reims,0,0,0,12,5
2021-08-08,2021-22,St Etienne,Lorient,1,1,0,20,12
2021-08-08,2021-22,Strasbourg,Angers,0,2,0,7,9
2021-08-08,2021-22,Metz,Lille,3,3,0,12,18
2021-08-08,2021-22,Montpellier,Marseille,2,3,0,8,21
2021-08-13,2021-22,Lorient,Monaco,1,0,0,2,12
2021-08-14,2021-22,Lille,Nice,0,4,0,11,11
2021-08-14,2021-22,Paris SG,Strasbourg,4,2,0,11,8
2021-08-15,2021-22,Angers,Lyon,3,0,0,13,8
2021-08-15,2021-22,Brest,Rennes,1,1,0,10,6
2021-08-15,2021-22,Clermont,Troyes,2,0,0,18,6
2021-08-15,2021-22,Nantes,Metz,2,0,0,11,10
2021-08-15,2021-22,Reims,Montpellier,3,3,0,19,15
2021-08-15,2021-22,Lens,St Etienne,2,2,0,22,12
2021-08-15,2021-22,Marseille,Bordeaux,2,2,0,10,8
2021-08-20,2021-22,Brest,Paris SG,2,4,0,11,16
2021-08-21,2021-22,Monaco,Lens,0,2,0,9,4
2021-08-21,2021-22,St Etienne,Lille,1,1,0,10,8
2021-08-22,2021-22,Lyon,Clermont,3,3,0,21,17
2021-08-22,2021-22,Bordeaux,Angers,1,1,0,14,6
2021-08-22,2021-22,Metz,Reims,1,1,0,10,12
2021-08-22,2021-22,Montpellier,Lorient,3,1,0,32,5
2021-08-22,2021-22,Strasbourg,Troyes,1,1,0,14,10
2021-08-22,2021-22,Rennes,Nantes,1,0,0,14,4
2021-08-27,2021-22,Nantes,Lyon,0,1,0,18,12
2021-08-28,2021-22,Nice,Bordeaux,4,0,0,11,13
2021-08-28,2021-22,Marseille,St Etienne,3,1,0,19,11
2021-08-29,2021-22,Troyes,Monaco,1,2,0,12,7
