player,team,season,position,age,minutes,goals,assists,shots,key_passes,dribbles,tackles,interceptions
Aaron Malouda,Lille,2024-25,FW,18.0,2,0,0,0,0,0,0,0
Abakar Sylla,Strasbourg,2024-25,DF,21.0,950,1,0,5,1,3,27,11
Abdallah Sima,Brest,2024-25,FW,23.0,1238,7,2,37,13,6,15,1
Abdoul Koné,Reims,2024-25,DF,19.0,133,0,0,0,0,1,5,1
Abdoulaye Bamba,Angers,2024-25,DF,34.0,1510,0,0,1,6,2,22,19
Abdoulaye Niakhate Ndiaye,Brest,2024-25,DF,22.0,1707,1,0,11,1,2,49,11
Abdoulaye Touré,Le Havre,2024-25,MF,30.0,2324,10,1,38,7,17,61,34
Abdukodir Khusanov,Lens,2024-25,DF,20.0,975,0,0,6,2,1,15,26
Abner,Lyon,2024-25,DF,24.0,1090,1,1,7,11,6,29,5
Achraf Hakimi,Paris S-G,2024-25,DF,25.0,2066,4,6,32,50,26,48,31
Ado Onaiwu,Auxerre,2024-25,MF,28.0,957,4,1,23,10,11,11,3
Adrien Rabiot,Marseille,2024-25,MF,29.0,2485,9,4,48,28,26,49,21
Adrien Thomasson,Lens,2024-25,MF,30.0,2615,3,7,41,56,26,90,19
Adrien Truffert,Rennes,2024-25,DF,22.0,2752,2,2,23,39,16,61,27
Adryelson,Lyon,2024-25,DF,26.0,1,0,0,0,0,0,0,1
Aimen Moueffek,Saint-Étienne,2024-25,MF,23.0,1039,0,1,10,10,11,20,5
Ainsley Maitland-Niles,Lyon,2024-25,DF,26.0,1985,1,4,22,27,17,71,25
Akor Adams,Montpellier,2024-25,FW,24.0,1075,3,1,26,12,7,4,1
Alban Lafont,Nantes,2024-25,GK,25.0,1080,0,0,0,2,0,1,0
Albert Grønbaek,Rennes,2024-25,MF,23.0,813,2,1,22,19,11,21,4
Alejandro Rodriguez,Lyon,2024-25,MF,16.0,20,0,0,0,0,0,0,0
Aleksandr Golovin,Monaco,2024-25,MF,28.0,1153,3,0,24,24,22,38,12
Alexandre Lacazette,Lyon,2024-25,FW,33.0,2051,15,2,53,26,14,13,8
Alexsandro Ribeiro,Lille,2024-25,DF,24.0,2700,1,1,21,9,5,32,27
Ali Abdi,Nice,2024-25,DF,30.0,1393,5,2,29,20,12,43,20
Alidu Seidu,Rennes,2024-25,DF,24.0,803,0,0,3,5,9,22,14
Almoatasem Al Musrati,Monaco,2024-25,MF,28.0,386,1,1,11,5,2,14,5
Alois Confais,Le Havre,2024-25,MF,27.0,3,0,0,0,0,0,0,0
Amadou Koné,Reims,2024-25,MF,19.0,1293,0,0,14,8,15,49,19
Amar Dedić,Marseille,2024-25,DF,21.0,314,0,1,6,4,9,5,3
Amidou Doumbouya,Nice,2024-25,DF,16.0,46,0,0,0,0,1,1,1
Amine Gouiri,Marseille,2024-25,FW,24.0,2085,13,5,82,34,25,14,3
Amine Harit,Marseille,2024-25,MF,27.0,519,2,4,8,19,8,8,3
Amine Salama,Reims,2024-25,FW,24.0,373,0,0,9,5,7,3,1
Anass Zaroury,Lens,2024-25,FW,23.0,1405,2,2,35,35,17,23,6
Andrew Omobamidele,Strasbourg,2024-25,DF,22.0,539,0,0,0,0,1,7,8
Andrey Santos,Strasbourg,2024-25,MF,20.0,2855,10,3,46,27,18,110,32
André Ayew,Le Havre,2024-25,FW,34.0,1453,4,1,22,8,5,18,3
André Gomes,Lille,2024-25,MF,31.0,1276,0,0,11,10,10,27,6
Andy Delort,Montpellier,2024-25,FW,32.0,607,0,0,17,7,3,4,0
Andy Diouf,Lens,2024-25,MF,21.0,2225,1,2,40,33,43,37,15
Ange Martial Tia,Reims,2024-25,MF,17.0,171,0,0,4,2,3,4,2
Angel Gomes,Lille,2024-25,MF,23.0,736,1,1,8,14,5,10,0
Angelo Fulgini,Lens,2024-25,MF,27.0,1045,1,1,26,28,11,14,2
Anthony Briançon,Saint-Étienne,2024-25,DF,29.0,1,0,0,0,0,0,0,0
Anthony Lopes,Nantes,2024-25,GK,33.0,1563,0,0,0,0,0,1,1
Anthony Rouault,Rennes,2024-25,DF,23.0,972,0,0,7,1,0,12,8
Antoine Joujou,Le Havre,2024-25,MF,21.0,943,0,2,11,15,30,16,9
Antoine Mendy,Nice,2024-25,DF,20.0,825,0,0,9,2,5,30,8
Aristide Zossou,Auxerre,2024-25,MF,19.0,16,0,0,0,0,0,0,0
Arnau Tenas,Paris S-G,2024-25,GK,23.0,90,0,1,0,2,0,0,0
Arnaud Kalimuendo,Rennes,2024-25,FW,22.0,2578,17,3,68,19,21,19,4
Arnaud Nordin,Montpellier,2024-25,FW,26.0,1166,4,1,26,15,23,24,5
Aron Dønnum,Toulouse,2024-25,DF,26.0,2689,2,2,31,45,47,56,28
Arouna Sangante,Le Havre,2024-25,DF,22.0,1244,3,0,7,3,5,25,21
Arthur Desmas,Le Havre,2024-25,GK,30.0,1620,0,0,0,1,0,0,0
Assane Dioussé,Auxerre,2024-25,MF,26.0,663,0,0,3,2,2,15,12
Augustine Boakye,Saint-Étienne,2024-25,FW,23.0,733,3,0,24,13,13,7,6
Aurélio Buta,Reims,2024-25,DF,27.0,1970,0,1,8,10,9,37,22
Axel Camblan,Brest,2024-25,MF,20.0,26,0,0,1,0,0,1,0
Axel Gueguin,Montpellier,2024-25,FW,19.0,23,0,0,0,0,0,1,0
Axel Tapé,Paris S-G,2024-25,DF,16.0,180,0,0,1,1,1,3,1
Ayanda Sishuba,Rennes,2024-25,FW,19.0,3,0,0,0,0,0,1,0
Ayman Aiki,Saint-Étienne,2024-25,FW,19.0,127,0,0,3,1,0,3,1
Ayyoub Bouaddi,Lille,2024-25,MF,16.0,1151,0,1,3,5,14,50,10
Azor Matusiwa,Rennes,2024-25,MF,26.0,2078,1,3,11,17,17,64,34
Aïssa Mandi,Lille,2024-25,DF,32.0,1733,0,0,6,5,3,31,15
Badredine Bouanani,Nice,2024-25,MF,19.0,1099,3,3,30,20,14,11,11
Bafodé Diakité,Lille,2024-25,DF,23.0,2766,4,1,16,3,9,31,27
Bahereba Guirassy,Nantes,2024-25,FW,17.0,348,2,0,7,2,9,12,1
Bamba Dieng,Angers,2024-25,FW,24.0,532,3,0,13,1,2,4,0
Bamo Meïté,Montpellier,2024-25,DF,22.0,450,0,0,1,0,1,5,4
Baptiste Santamaria,Nice,2024-25,MF,29.0,1409,0,1,20,13,9,31,30
Becir Omeragic,Montpellier,2024-25,DF,22.0,1799,0,0,7,3,11,32,13
Ben Old,Saint-Étienne,2024-25,FW,21.0,528,0,0,11,9,9,7,2
Ben Viadere,Auxerre,2024-25,MF,18.0,5,0,0,0,1,1,0,0
Benjamin André,Lille,2024-25,MF,33.0,2692,0,3,16,21,9,103,48
Benjamin Bouchouari,Saint-Étienne,2024-25,MF,22.0,1772,1,0,16,16,27,33,17
Benjamin Bourigeaud,Rennes,2024-25,MF,30.0,80,1,0,2,0,1,1,2
Benjamin Lecomte,Montpellier,2024-25,GK,33.0,2700,0,0,0,3,0,0,0
Beres Owusu,Saint-Étienne,2024-25,DF,20.0,90,0,0,0,1,0,2,0
Bernard Nguene,Nice,2024-25,FW,17.0,13,0,0,0,0,0,0,0
Bilal Brahimi,Nice,2024-25,MF,24.0,76,0,0,1,1,0,0,0
Bilal Nadir,Marseille,2024-25,MF,20.0,383,1,0,8,7,4,10,4
Birama Touré,Montpellier,2024-25,MF,32.0,300,0,0,3,3,0,8,6
Boubakar Kouyaté,Montpellier,2024-25,DF,27.0,756,0,0,8,0,0,22,12
Bradley Barcola,Paris S-G,2024-25,FW,21.0,2181,14,10,74,50,34,27,19
Bradley Locko,Brest,2024-25,DF,22.0,97,0,0,1,0,1,2,1
Breel Embolo,Monaco,2024-25,FW,27.0,1841,6,4,51,32,14,22,3
Brendan Chardonnet,Brest,2024-25,DF,29.0,2416,1,0,14,8,0,45,29
Brice Samba,Rennes,2024-25,GK,30.0,2879,0,0,0,0,1,2,1
Caio Henrique Oliveira Silva,Monaco,2024-25,DF,27.0,1929,0,6,4,35,14,37,22
Caleb Wiley,Strasbourg,2024-25,DF,19.0,266,0,1,1,2,0,1,4
Carlens Arcus,Angers,2024-25,DF,28.0,2047,0,1,3,17,8,52,27
Carlos Gómez,Rennes,2024-25,MF,21.0,381,3,0,9,5,8,8,2
Charlie Cresswell,Toulouse,2024-25,DF,21.0,2592,3,1,32,5,3,35,28
Christian Mawissa,Monaco,2024-25,DF,19.0,1501,0,0,1,1,10,42,26
Christopher Operi,Le Havre,2024-25,DF,27.0,1169,0,2,7,24,14,13,14
