date,season,home_team,away_team,home_score,away_score,neutral,home_shots,away_shots
2021-08-21,2021-22,Inter,Genoa,4,0,0,17,11
2021-08-21,2021-22,Verona,Sassuolo,2,3,0,12,15
2021-08-21,2021-22,Empoli,Lazio,1,3,0,16,8
2021-08-21,2021-22,Torino,Atalanta,1,2,0,19,6
2021-08-22,2021-22,Bologna,Salernitana,3,2,0,18,8
2021-08-22,2021-22,Udinese,Juventus,2,2,0,11,11
2021-08-22,2021-22,Napoli,Venezia,2,0,0,13,8
2021-08-22,2021-22,Roma,Fiorentina,3,1,0,11,11
2021-08-23,2021-22,Cagliari,Spezia,2,2,0,16,13
2021-08-23,2021-22,Sampdoria,Milan,0,1,0,11,10
2021-08-27,2021-22,Udinese,Venezia,3,0,0,18,8
2021-08-27,2021-22,Verona,Inter,1,3,0,4,15
2021-08-28,2021-22,Atalanta,Bologna,0,0,0,21,3
2021-08-28,2021-22,Lazio,Spezia,6,1,0,18,5
2021-08-28,2021-22,Fiorentina,Torino,2,1,0,10,4
2021-08-28,2021-22,Juventus,Empoli,0,1,0,20,9
2021-08-29,2021-22,Genoa,Napoli,1,2,0,7,12
2021-08-29,2021-22,Sassuolo,Sampdoria,0,0,0,19,13
2021-08-29,2021-22,Milan,Cagliari,4,1,0,17,6
2021-08-29,2021-22,Salernitana,Roma,0,4,0,4,21
2021-09-11,2021-22,Empoli,Venezia,1,2,0,17,10
2021-09-11,2021-22,Napoli,Juventus,2,1,0,24,7
2021-09-11,2021-22,Atalanta,Fiorentina,1,2,0,10,7
2021-09-12,2021-22,Sampdoria,Inter,2,2,0,12,8
2021-09-12,2021-22,Cagliari,Genoa,2,3,0,8,9
2021-09-12,2021-22,Spezia,Udinese,0,1,0,20,8
2021-09-12,2021-22,Torino,Salernitana,4,0,0,15,7
2021-09-12,2021-22,Milan,Lazio,2,0,0,17,7
2021-09-12,2021-22,Roma,Sassuolo,2,1,0,19,13
2021-09-13,2021-22,Bologna,Verona,1,0,0,13,5
2021-09-17,2021-22,Sassuolo,Torino,0,1,0,9,18
