player,team,season,position,age,minutes,goals,assists,shots,key_passes,dribbles,tackles,interceptions
Aaron Ciammaglichella,Torino,2024-25,MF,19.0,1,0,0,0,0,0,0,0
Aarón Martín,Genoa,2024-25,DF,27.0,3085,0,8,16,65,12,71,19
Abdou Harroui,Hellas Verona,2024-25,MF,26.0,463,1,2,15,4,6,9,2
Adam Marušić,Lazio,2024-25,DF,31.0,2337,4,0,23,13,10,32,16
Adam Masina,Torino,2024-25,DF,30.0,1919,1,2,8,4,6,33,27
Adam Obert,Cagliari,2024-25,DF,21.0,1077,1,1,9,10,5,31,23
Ademola Lookman,Atalanta,2024-25,MF,26.0,2247,15,5,81,61,37,32,3
Adrian Benedyczak,Parma,2024-25,FW,23.0,214,0,0,3,2,0,0,0
Adrian Bernabe,Parma,2024-25,MF,23.0,1453,1,1,27,22,15,29,7
Adrien Tameze,Torino,2024-25,MF,30.0,649,0,0,7,6,4,5,10
Alan Matturro,Genoa,2024-25,DF,19.0,900,0,0,4,3,3,11,14
Albert Guðmundsson,Fiorentina,2024-25,FW,27.0,1273,6,1,25,15,15,9,6
Alberto Cerri,Como,2024-25,FW,28.0,87,0,0,4,0,0,0,0
Alberto Dossena,Como,2024-25,DF,25.0,1825,0,2,12,5,4,33,22
Alberto Grassi,Empoli,2024-25,MF,29.0,2203,1,0,11,7,5,39,33
Alberto Manzoni,Atalanta,2024-25,MF,19.0,6,0,0,1,0,0,0,0
Alberto Moreno,Como,2024-25,DF,32.0,1727,0,0,14,19,3,25,14
Alberto Paleari,Torino,2024-25,GK,31.0,90,0,0,0,0,0,0,0
Alberto costa,Juventus,2024-25,DF,20.0,357,0,1,7,2,4,14,4
Alejandro Jiménez,Milan,2024-25,DF,19.0,1266,0,1,15,12,26,24,15
Alen Sherri,Cagliari,2024-25,GK,26.0,621,0,0,0,1,0,1,1
Alessandro Bastoni,Inter,2024-25,DF,25.0,2333,1,5,12,27,7,46,21
Alessandro Bianco,Monza,2024-25,MF,21.0,2618,1,0,26,18,17,51,22
Alessandro Buongiorno,Napoli,2024-25,DF,25.0,1924,1,0,8,5,1,39,35
Alessandro Circati,Parma,2024-25,DF,20.0,540,0,0,2,1,0,7,3
Alessandro Deiola,Cagliari,2024-25,MF,28.0,1432,2,1,18,6,3,31,13
Alessandro Florenzi,Milan,2024-25,FW,33.0,5,0,0,0,0,0,0,0
Alessandro Gabrielloni,Como,2024-25,FW,30.0,142,1,1,5,4,0,0,0
Alessandro Marcandalli,Venezia,2024-25,DF,21.0,400,0,0,2,0,0,9,2
Alessandro Vogliacco,Parma,2024-25,DF,25.0,1487,2,0,6,4,1,20,12
Alessandro Zanoli,Genoa,2024-25,FW,23.0,1711,1,0,11,19,20,29,12
Alessio Cacciamani,Torino,2024-25,MF,17.0,31,0,0,0,0,1,0,1
Alessio Iovine,Como,2024-25,DF,33.0,387,0,0,1,3,1,5,3
Alessio Romagnoli,Lazio,2024-25,DF,29.0,2672,2,0,20,9,1,48,26
Alessio Zerbin,Venezia,2024-25,DF,25.0,1520,1,1,16,24,21,53,15
Alex Meret,Napoli,2024-25,GK,27.0,3005,0,0,0,0,0,0,0
Alexis Saelemaekers,Roma,2024-25,DF,25.0,1479,7,3,25,26,22,34,10
Alexis Sánchez,Udinese,2024-25,FW,35.0,437,0,0,7,3,4,3,4
Alfred Duncan,Venezia,2024-25,MF,31.0,957,0,0,15,11,13,17,8
Ali Dembélé,Torino,2024-25,DF,20.0,388,1,0,5,3,2,9,1
Ali Jasim,Como,2024-25,FW,20.0,10,0,0,0,0,0,1,0
Alieu Fadera,Como,2024-25,FW,22.0,1644,1,3,28,23,26,64,12
Alphadjo Cissè,Hellas Verona,2024-25,FW,17.0,9,0,0,2,0,0,0,0
Amin Sarr,Hellas Verona,2024-25,FW,23.0,1907,4,1,23,22,14,22,3
Amir Richardson,Fiorentina,2024-25,MF,22.0,1024,1,1,11,8,11,30,6
Amir Rrahmani,Napoli,2024-25,DF,30.0,3406,1,3,28,11,4,39,27
Anass Salah-Eddine,Roma,2024-25,DF,22.0,152,0,1,2,2,0,1,1
Anastasios Douvikas,Como,2024-25,FW,24.0,580,2,2,14,9,5,3,1
Andre-Frank Zambo Anguissa,Napoli,2024-25,MF,28.0,2852,6,4,44,26,25,42,35
Andrea Belotti,Como,2024-25,FW,30.0,593,2,0,19,7,2,7,1
Andrea Cambiaso,Juventus,2024-25,DF,24.0,2221,2,3,17,34,27,46,16
Andrea Carboni,Monza,2024-25,DF,23.0,2191,0,1,8,4,5,60,27
Andrea Colpani,Fiorentina,2024-25,FW,25.0,1432,2,1,35,17,12,15,8
Andrea Mazza,Monza,2024-25,GK,20.0,8,0,0,0,0,0,0,0
Andrea Petagna,Monza,2024-25,FW,29.0,335,0,0,4,1,2,2,1
Andrea Pinamonti,Genoa,2024-25,FW,25.0,2850,10,1,78,15,11,10,1
Andy Pelmard,Lecce,2024-25,DF,24.0,129,0,0,0,0,1,6,0
Ange-Yoan Bonny,Parma,2024-25,FW,20.0,2529,6,4,61,30,33,34,3
Angeliño,Roma,2024-25,DF,27.0,3177,2,1,24,50,11,46,28
Ante Rebić,Lecce,2024-25,FW,30.0,788,1,0,13,18,8,12,2
Antoine Bernede,Hellas Verona,2024-25,MF,25.0,594,1,0,4,10,2,15,5
Antoine Hainaut,Parma,2024-25,DF,22.0,1206,2,0,6,9,13,26,15
Antoine Makoumbou,Cagliari,2024-25,MF,26.0,2150,0,3,7,8,10,42,17
Antonino Gallo,Lecce,2024-25,DF,24.0,2609,0,2,9,44,13,65,20
Antonio Candela,Venezia,2024-25,DF,24.0,1008,0,1,5,9,6,31,8
Antonio Raimondo,Venezia,2024-25,FW,20.0,94,0,0,1,1,0,2,0
Antonio Sanabria,Torino,2024-25,FW,28.0,1318,2,1,18,9,6,3,1
