date,season,home_team,away_team,home_score,away_score
1993-08-07,1993-94,Bayern Munich,Freiburg,3,1
1993-08-07,1993-94,Dortmund,Karlsruhe,2,1
1993-08-07,1993-94,Duisburg,Leverkusen,2,2
1993-08-07,1993-94,FC Koln,Kaiserslautern,0,2
1993-08-07,1993-94,Hamburg,Nurnberg,5,2
1993-08-07,1993-94,Leipzig,Dresden,3,3
1993-08-07,1993-94,M'Gladbach,Ein Frankfurt,0,4
1993-08-07,1993-94,Wattenscheid,Schalke 04,3,0
1993-08-07,1993-94,Werder Bremen,Stuttgart,5,1
1993-08-14,1993-94,Dresden,Duisburg,0,1
1993-08-14,1993-94,Ein Frankfurt,Werder Bremen,2,2
1993-08-14,1993-94,Freiburg,Wattenscheid,4,1
1993-08-14,1993-94,Kaiserslautern,M'Gladbach,4,2
1993-08-14,1993-94,Karlsruhe,Hamburg,2,0
1993-08-14,1993-94,Leverkusen,Bayern Munich,2,1
1993-08-14,1993-94,Nurnberg,FC Koln,1,0
1993-08-14,1993-94,Schalke 04,Dortmund,1,0
1993-08-14,1993-94,Stuttgart,Leipzig,0,0
1993-08-21,1993-94,Bayern Munich,Dresden,5,0
1993-08-21,1993-94,Dortmund,Freiburg,3,2
1993-08-21,1993-94,Duisburg,Stuttgart,2,2
1993-08-21,1993-94,Ein Frankfurt,Kaiserslautern,1,0
1993-08-21,1993-94,FC Koln,Karlsruhe,2,1
1993-08-21,1993-94,Hamburg,Schalke 04,4,1
1993-08-21,1993-94,M'Gladbach,Nurnberg,2,0
1993-08-21,1993-94,Wattenscheid,Leverkusen,1,2
1993-08-21,1993-94,Werder Bremen,Leipzig,3,1
1993-08-28,1993-94,Dresden,Wattenscheid,1,1
1993-08-28,1993-94,Freiburg,Hamburg,0,1
1993-08-28,1993-94,Kaiserslautern,Werder Bremen,2,3
1993-08-28,1993-94,Karlsruhe,M'Gladbach,1,0
1993-08-28,1993-94,Leipzig,Duisburg,1,1
1993-08-28,1993-94,Leverkusen,Dortmund,2,1
1993-08-28,1993-94,Nurnberg,Ein Frankfurt,1,5
1993-08-28,1993-94,Schalke 04,FC Koln,1,2
1993-08-28,1993-94,Stuttgart,Bayern Munich,2,2
1993-09-01,1993-94,Bayern Munich,Leipzig,3,0
1993-09-01,1993-94,Dortmund,Dresden,4,0
1993-09-01,1993-94,Ein Frankfurt,Karlsruhe,3,1
1993-09-01,1993-94,FC Koln,Freiburg,2,0
1993-09-01,1993-94,Hamburg,Leverkusen,2,1
1993-09-01,1993-94,Kaiserslautern,Nurnberg,3,1
1993-09-01,1993-94,M'Gladbach,Schalke 04,3,2
1993-09-01,1993-94,Wattenscheid,Stuttgart,2,4
1993-09-01,1993-94,Werder Bremen,Duisburg,1,5
1993-09-04,1993-94,Dresden,Hamburg,1,1
1993-09-04,1993-94,Duisburg,Bayern Munich,2,2
1993-09-04,1993-94,Freiburg,M'Gladbach,3,3
