date,season,home_team,away_team,home_score,away_score
1993-09-05,1993-94,Ath Bilbao,Albacete,4,1
1993-09-05,1993-94,Ath Madrid,Logrones,1,0
1993-09-05,1993-94,Barcelona,Sociedad,3,0
1993-09-05,1993-94,La Coruna,Celta,0,0
1993-09-05,1993-94,Osasuna,Real Madrid,1,4
1993-09-05,1993-94,Oviedo,Valencia,0,3
1993-09-05,1993-94,Santander,Vallecano,1,0
1993-09-05,1993-94,Tenerife,Lerida,1,0
1993-09-05,1993-94,Valladolid,Sp Gijon,0,1
1993-09-05,1993-94,Zaragoza,Sevilla,1,2
1993-09-12,1993-94,Albacete,Barcelona,0,0
1993-09-12,1993-94,Celta,Oviedo,1,1
1993-09-12,1993-94,Lerida,Ath Bilbao,1,2
1993-09-12,1993-94,Logrones,Santander,0,1
1993-09-12,1993-94,Real Madrid,Valladolid,1,3
1993-09-12,1993-94,Sevilla,Osasuna,1,1
1993-09-12,1993-94,Sociedad,Zaragoza,2,2
1993-09-12,1993-94,Sp Gijon,La Coruna,0,2
1993-09-12,1993-94,Valencia,Ath Madrid,2,2
1993-09-12,1993-94,Vallecano,Tenerife,4,3
1993-09-19,1993-94,Ath Bilbao,Barcelona,0,0
1993-09-19,1993-94,Ath Madrid,Celta,3,2
1993-09-19,1993-94,La Coruna,Real Madrid,4,0
1993-09-19,1993-94,Lerida,Vallecano,0,1
1993-09-19,1993-94,Osasuna,Sociedad,0,2
1993-09-19,1993-94,Oviedo,Sp Gijon,0,1
1993-09-19,1993-94,Santander,Valencia,0,1
1993-09-19,1993-94,Tenerife,Logrones,2,0
1993-09-19,1993-94,Valladolid,Sevilla,2,2
1993-09-19,1993-94,Zaragoza,Albacete,1,1
1993-09-26,1993-94,Albacete,Osasuna,2,1
1993-09-26,1993-94,Barcelona,Zaragoza,4,1
1993-09-26,1993-94,Celta,Santander,0,0
1993-09-26,1993-94,Logrones,Lerida,2,1
1993-09-26,1993-94,Real Madrid,Oviedo,0,1
1993-09-26,1993-94,Sevilla,La Coruna,0,0
1993-09-26,1993-94,Sociedad,Valladolid,1,0
1993-09-26,1993-94,Sp Gijon,Ath Madrid,1,1
1993-09-26,1993-94,Valencia,Tenerife,3,2
1993-09-26,1993-94,Vallecano,Ath Bilbao,1,2
1993-10-03,1993-94,Ath Bilbao,Zaragoza,2,1
1993-10-03,1993-94,Ath Madrid,Real Madrid,0,0
1993-10-03,1993-94,La Coruna,Sociedad,0,1
1993-10-03,1993-94,Lerida,Valencia,1,1
1993-10-03,1993-94,Osasuna,Barcelona,2,3
1993-10-03,1993-94,Oviedo,Sevilla,0,2
1993-10-03,1993-94,Santander,Sp Gijon,2,0
1993-10-03,1993-94,Tenerife,Celta,0,0
1993-10-03,1993-94,Valladolid,Albacete,1,0
1993-10-03,1993-94,Vallecano,Logrones,3,1
1993-10-06,1993-94,Albacete,La Coruna,0,0
1993-10-06,1993-94,Barcelona,Valladolid,3,0
1993-10-06,1993-94,Celta,Lerida,1,0
1993-10-06,1993-94,Logrones,Ath Bilbao,4,2
1993-10-06,1993-94,Real Madrid,Santander,2,1
1993-10-06,1993-94,Sevilla,Ath Madrid,2,1
1993-10-06,1993-94,Sociedad,Oviedo,2,2
1993-10-06,1993-94,Sp Gijon,Tenerife,1,2
1993-10-06,1993-94,Valencia,Vallecano,3,1
1993-10-06,1993-94,Zaragoza,Osasuna,2,1
1993-10-17,1993-94,Ath Bilbao,Osasuna,1,2
1993-10-17,1993-94,Ath Madrid,Sociedad,1,2
1993-10-17,1993-94,La Coruna,Barcelona,1,0
1993-10-17,1993-94,Lerida,Sp Gijon,1,1
1993-10-17,1993-94,Logrones,Valencia,2,0
1993-10-17,1993-94,Oviedo,Albacete,1,1
1993-10-17,1993-94,Santander,Sevilla,1,0
1993-10-17,1993-94,Tenerife,Real Madrid,0,0
1993-10-17,1993-94,Valladolid,Zaragoza,0,0
1993-10-17,1993-94,Vallecano,Celta,1,1
1993-10-24,1993-94,Albacete,Ath Madrid,2,2
1993-10-24,1993-94,Barcelona,Oviedo,1,0
1993-10-24,1993-94,Celta,Logrones,2,0
1993-10-24,1993-94,Osasuna,Valladolid,2,0
1993-10-24,1993-94,Real Madrid,Lerida,5,0
1993-10-24,1993-94,Sevilla,Tenerife,4,0
1993-10-24,1993-94,Sociedad,Santander,2,0
1993-10-24,1993-94,Sp Gijon,Vallecano,2,0
1993-10-24,1993-94,Valencia,Ath Bilbao,1,0
1993-10-24,1993-94,Zaragoza,La Coruna,0,1
1993-10-31,1993-94,Ath Bilbao,Valladolid,3,0
1993-10-31,1993-94,Ath Madrid,Barcelona,4,3
1993-10-31,1993-94,La Coruna,Osasuna,3,1
1993-10-31,1993-94,Lerida,Sevilla,0,3
1993-10-31,1993-94,Logrones,Sp Gijon,1,2
1993-10-31,1993-94,Oviedo,Zaragoza,2,1
1993-10-31,1993-94,Santander,Albacete,1,1
