date,season,home_team,away_team,home_score,away_score
1993-07-23,1993-94,Nantes,Monaco,1,0
1993-07-24,1993-94,Bordeaux,Paris SG,1,0
1993-07-24,1993-94,Caen,Metz,1,1
1993-07-24,1993-94,Lille,Martigues,1,1
1993-07-24,1993-94,Marseille,Lens,1,0
1993-07-24,1993-94,Montpellier,Lyon,1,1
1993-07-24,1993-94,Sochaux,Angers,4,1
1993-07-24,1993-94,St Etienne,Cannes,1,2
1993-07-24,1993-94,Strasbourg,Auxerre,1,1
1993-07-24,1993-94,Toulouse,Le Havre,0,0
1993-07-31,1993-94,Auxerre,Montpellier,3,1
1993-07-31,1993-94,Le Havre,Bordeaux,0,3
1993-07-31,1993-94,Lens,Strasbourg,0,0
1993-07-31,1993-94,Lyon,Caen,2,0
1993-07-31,1993-94,Martigues,Sochaux,1,1
1993-07-31,1993-94,Metz,Angers,2,0
1993-07-31,1993-94,Monaco,Toulouse,3,0
1993-07-31,1993-94,Nantes,St Etienne,1,0
1993-07-31,1993-94,Paris SG,Lille,2,1
1993-08-01,1993-94,Cannes,Marseille,2,1
1993-08-06,1993-94,Lille,Lens,0,0
1993-08-07,1993-94,Angers,Lyon,3,1
1993-08-07,1993-94,Bordeaux,Cannes,0,0
1993-08-07,1993-94,Caen,Auxerre,1,0
1993-08-07,1993-94,Marseille,Le Havre,1,1
1993-08-07,1993-94,Montpellier,Martigues,1,0
1993-08-07,1993-94,Sochaux,Metz,2,1
1993-08-07,1993-94,St Etienne,Monaco,2,0
1993-08-07,1993-94,Strasbourg,Paris SG,2,2
1993-08-07,1993-94,Toulouse,Nantes,0,3
1993-08-10,1993-94,Monaco,Bordeaux,3,2
1993-08-11,1993-94,Auxerre,Angers,0,0
1993-08-11,1993-94,Cannes,Lille,2,1
1993-08-11,1993-94,Le Havre,St Etienne,0,0
1993-08-11,1993-94,Lens,Montpellier,2,1
1993-08-11,1993-94,Lyon,Metz,2,0
1993-08-11,1993-94,Martigues,Caen,4,1
1993-08-11,1993-94,Nantes,Marseille,0,0
1993-08-11,1993-94,Paris SG,Sochaux,1,0
1993-08-11,1993-94,Toulouse,Strasbourg,0,0
1993-08-14,1993-94,Angers,Martigues,1,3
1993-08-14,1993-94,Bordeaux,Nantes,2,0
1993-08-14,1993-94,Caen,Lens,1,0
1993-08-14,1993-94,Lille,Le Havre,2,2
1993-08-14,1993-94,Metz,Auxerre,0,0
1993-08-14,1993-94,Montpellier,Monaco,0,3
1993-08-14,1993-94,Sochaux,Lyon,0,1
1993-08-14,1993-94,St Etienne,Toulouse,2,2
1993-08-14,1993-94,Strasbourg,Cannes,2,2
1993-08-15,1993-94,Marseille,Paris SG,1,0
1993-08-27,1993-94,Monaco,Marseille,0,0
1993-08-28,1993-94,Auxerre,Lyon,3,2
1993-08-28,1993-94,Cannes,Sochaux,1,1
1993-08-28,1993-94,Le Havre,Strasbourg,0,1
1993-08-28,1993-94,Lens,Angers,0,1
1993-08-28,1993-94,Martigues,Metz,1,1
1993-08-28,1993-94,Nantes,Montpellier,0,0
1993-08-28,1993-94,Paris SG,Caen,2,0
1993-08-28,1993-94,St Etienne,Bordeaux,0,0
1993-08-28,1993-94,Toulouse,Lille,1,1
1993-08-31,1993-94,Bordeaux,Toulouse,2,0
1993-09-01,1993-94,Angers,Paris SG,1,1
1993-09-01,1993-94,Caen,Cannes,1,1
1993-09-01,1993-94,Lille,Nantes,0,0
1993-09-01,1993-94,Lyon,Martigues,0,0
1993-09-01,1993-94,Marseille,St Etienne,3,1
1993-09-01,1993-94,Metz,Lens,2,1
1993-09-01,1993-94,Montpellier,Le Havre,2,1
1993-09-01,1993-94,Sochaux,Auxerre,1,0
1993-09-01,1993-94,Strasbourg,Monaco,1,1
1993-09-10,1993-94,Le Havre,Caen,1,2
1993-09-11,1993-94,Bordeaux,Metz,2,0
1993-09-11,1993-94,Cannes,Angers,4,3
1993-09-11,1993-94,Lens,Lyon,2,0
1993-09-11,1993-94,Martigues,Auxerre,0,1
1993-09-11,1993-94,Monaco,Lille,1,0
1993-09-11,1993-94,Nantes,Strasbourg,2,2
1993-09-11,1993-94,Paris SG,Montpellier,1,0
1993-09-11,1993-94,St Etienne,Sochaux,0,0
1993-09-11,1993-94,Toulouse,Marseille,0,0
1993-09-18,1993-94,Auxerre,Lens,1,0
1993-09-18,1993-94,Caen,Toulouse,1,0
1993-09-18,1993-94,Lille,St Etienne,0,2
1993-09-18,1993-94,Lyon,Paris SG,1,3
1993-09-18,1993-94,Marseille,Bordeaux,3,1
1993-09-18,1993-94,Metz,Le Havre,2,0
1993-09-18,1993-94,Montpellier,Cannes,2,1
1993-09-18,1993-94,Sochaux,Monaco,2,0
1993-09-18,1993-94,Strasbourg,Martigues,3,0
1993-09-19,1993-94,Angers,Nantes,0,0
1993-09-23,1993-94,Paris SG,Auxerre,4,0
1993-09-24,1993-94,Bordeaux,Lille,2,1
1993-09-24,1993-94,Cannes,Lyon,1,0
1993-09-24,1993-94,Le Havre,Sochaux,0,0
1993-09-24,1993-94,Lens,Martigues,1,1
1993-09-24,1993-94,Marseille,Metz,0,3
1993-09-24,1993-94,Monaco,Angers,3,0
1993-09-24,1993-94,Nantes,Caen,1,0
1993-09-24,1993-94,St Etienne,Strasbourg,0,0
1993-09-24,1993-94,Toulouse,Montpellier,0,0
1993-10-02,1993-94,Angers,Le Havre,0,0
1993-10-02,1993-94,Auxerre,Toulouse,5,1
1993-10-02,1993-94,Caen,Monaco,0,1
1993-10-02,1993-94,Lille,Marseille,1,2
1993-10-02,1993-94,Martigues,Paris SG,1,1
1993-10-02,1993-94,Metz,Cannes,0,0
1993-10-02,1993-94,Montpellier,St Etienne,3,0
1993-10-02,1993-94,Sochaux,Lens,1,1
1993-10-02,1993-94,Strasbourg,Bordeaux,0,2
1993-10-03,1993-94,Lyon,Nantes,2,1
1993-10-05,1993-94,Bordeaux,Montpellier,1,1
1993-10-06,1993-94,Cannes,Martigues,2,1
1993-10-06,1993-94,Le Havre,Auxerre,1,0
1993-10-06,1993-94,Lille,Sochaux,3,1
1993-10-06,1993-94,Marseille,Strasbourg,2,1
1993-10-06,1993-94,Monaco,Lyon,1,1
1993-10-06,1993-94,Nantes,Metz,2,0
1993-10-06,1993-94,Paris SG,Lens,1,0
1993-10-06,1993-94,St Etienne,Caen,5,0
1993-10-06,1993-94,Toulouse,Angers,2,1
1993-10-16,1993-94,Angers,St Etienne,1,1
1993-10-16,1993-94,Auxerre,Monaco,4,0
1993-10-16,1993-94,Caen,Bordeaux,1,0
1993-10-16,1993-94,Lens,Cannes,2,1
1993-10-16,1993-94,Lyon,Le Havre,1,1
1993-10-16,1993-94,Martigues,Toulouse,1,1
1993-10-16,1993-94,Metz,Paris SG,0,1
1993-10-16,1993-94,Strasbourg,Lille,1,1
1993-10-17,1993-94,Sochaux,Nantes,1,1
1993-10-22,1993-94,Strasbourg,Caen,3,0
1993-10-23,1993-94,Bordeaux,Angers,1,0
1993-10-23,1993-94,Cannes,Paris SG,0,1
1993-10-23,1993-94,Le Havre,Lens,1,1
1993-10-23,1993-94,Lille,Montpellier,0,0
1993-10-23,1993-94,Marseille,Sochaux,1,1
1993-10-23,1993-94,Monaco,Martigues,7,0
1993-10-23,1993-94,Nantes,Auxerre,1,2
1993-10-23,1993-94,St Etienne,Metz,1,0
1993-10-23,1993-94,Toulouse,Lyon,2,0
1993-10-28,1993-94,Auxerre,Cannes,0,0
1993-10-29,1993-94,Angers,Marseille,0,1
1993-10-29,1993-94,Caen,Lille,2,3
1993-10-29,1993-94,Lens,Monaco,3,3
1993-10-29,1993-94,Lyon,St Etienne,1,0
1993-10-29,1993-94,Martigues,Le Havre,3,0
1993-10-29,1993-94,Metz,Toulouse,1,0
1993-10-29,1993-94,Montpellier,Strasbourg,4,0
1993-10-29,1993-94,Paris SG,Nantes,1,0
1993-10-29,1993-94,Sochaux,Bordeaux,2,2
1993-11-06,1993-94,Bordeaux,Lyon,2,0
1993-11-06,1993-94,Le Havre,Cannes,3,1
1993-11-06,1993-94,Lille,Angers,1,1
1993-11-06,1993-94,Marseille,Caen,2,0
1993-11-06,1993-94,Monaco,Paris SG,1,1
1993-11-06,1993-94,Nantes,Martigues,2,1
1993-11-06,1993-94,St Etienne,Auxerre,1,0
1993-11-06,1993-94,Strasbourg,Sochaux,2,0
1993-11-07,1993-94,Montpellier,Metz,3,2
1993-11-07,1993-94,Toulouse,Lens,1,1
1993-11-10,1993-94,Angers,Strasbourg,1,3
1993-11-10,1993-94,Auxerre,Bordeaux,0,1
1993-11-10,1993-94,Caen,Montpellier,0,0
1993-11-10,1993-94,Cannes,Monaco,0,2
1993-11-10,1993-94,Lens,Nantes,1,1
1993-11-10,1993-94,Lyon,Marseille,1,0
1993-11-10,1993-94,Martigues,St Etienne,2,1
1993-11-10,1993-94,Metz,Lille,1,1
1993-11-10,1993-94,Paris SG,Le Havre,0,0
1993-11-10,1993-94,Sochaux,Toulouse,0,0
1993-11-21,1993-94,Bordeaux,Martigues,1,1
1993-11-21,1993-94,Caen,Sochaux,2,1
1993-11-21,1993-94,Lille,Lyon,2,1
1993-11-21,1993-94,Marseille,Auxerre,0,3
1993-11-21,1993-94,Monaco,Le Havre,1,1
1993-11-21,1993-94,Montpellier,Angers,2,1
1993-11-21,1993-94,Nantes,Cannes,0,0
1993-11-21,1993-94,St Etienne,Lens,0,0
1993-11-21,1993-94,Strasbourg,Metz,0,0
1993-11-21,1993-94,Toulouse,Paris SG,1,2
1993-11-27,1993-94,Angers,Caen,2,0
1993-11-27,1993-94,Auxerre,Lille,5,0
1993-11-27,1993-94,Cannes,Toulouse,2,1
1993-11-27,1993-94,Le Havre,Nantes,0,0
1993-11-27,1993-94,Lens,Bordeaux,1,0
1993-11-27,1993-94,Lyon,Strasbourg,2,1
1993-11-27,1993-94,Martigues,Marseille,0,3
1993-11-27,1993-94,Metz,Monaco,1,1
1993-11-27,1993-94,Paris SG,St Etienne,1,0
1993-11-27,1993-94,Sochaux,Montpellier,2,1
1993-12-02,1993-94,St Etienne,Nantes,1,1
1993-12-03,1993-94,Angers,Metz,1,2
1993-12-03,1993-94,Bordeaux,Le Havre,2,1
1993-12-03,1993-94,Caen,Lyon,1,0
1993-12-03,1993-94,Lille,Paris SG,0,2
1993-12-03,1993-94,Marseille,Cannes,3,1
1993-12-03,1993-94,Montpellier,Auxerre,1,0
1993-12-03,1993-94,Sochaux,Martigues,1,0
1993-12-03,1993-94,Strasbourg,Lens,2,0
1993-12-03,1993-94,Toulouse,Monaco,2,1
1993-12-10,1993-94,Lens,Lille,1,1
1993-12-11,1993-94,Auxerre,Caen,1,0
1993-12-11,1993-94,Cannes,Bordeaux,2,1
1993-12-11,1993-94,Le Havre,Marseille,1,3
1993-12-11,1993-94,Lyon,Angers,1,1
1993-12-11,1993-94,Martigues,Montpellier,1,1
1993-12-11,1993-94,Metz,Sochaux,1,1
1993-12-11,1993-94,Monaco,St Etienne,1,1
1993-12-11,1993-94,Nantes,Toulouse,4,0
1993-12-11,1993-94,Paris SG,Strasbourg,2,0
1993-12-16,1993-94,Montpellier,Marseille,0,2
1993-12-18,1993-94,Angers,Auxerre,2,2
1993-12-18,1993-94,Caen,Martigues,4,1
1993-12-18,1993-94,Lille,Cannes,1,0
1993-12-18,1993-94,Marseille,Nantes,3,1
1993-12-18,1993-94,Metz,Lyon,0,1
1993-12-18,1993-94,Montpellier,Lens,0,0
1993-12-18,1993-94,Sochaux,Paris SG,1,2
1993-12-18,1993-94,St Etienne,Le Havre,0,0
1993-12-18,1993-94,Strasbourg,Toulouse,1,0
1993-12-19,1993-94,Bordeaux,Monaco,1,0
1994-01-14,1993-94,Paris SG,Marseille,1,1
1994-01-15,1993-94,Auxerre,Metz,2,0
1994-01-15,1993-94,Cannes,Strasbourg,1,1
1994-01-15,1993-94,Le Havre,Lille,1,0
1994-01-15,1993-94,Lens,Caen,2,0
1994-01-15,1993-94,Lyon,Sochaux,1,0
1994-01-15,1993-94,Martigues,Angers,0,0
1994-01-15,1993-94,Monaco,Montpellier,1,2
1994-01-15,1993-94,Nantes,Bordeaux,4,1
1994-01-15,1993-94,Toulouse,St Etienne,1,2
1994-01-28,1993-94,Marseille,Monaco,2,1
1994-01-29,1993-94,Angers,Lens,1,2
1994-01-29,1993-94,Bordeaux,St Etienne,1,2
1994-01-29,1993-94,Caen,Paris SG,0,2
1994-01-29,1993-94,Lille,Toulouse,3,0
1994-01-29,1993-94,Lyon,Auxerre,1,0
1994-01-29,1993-94,Metz,Martigues,0,0
1994-01-29,1993-94,Montpellier,Nantes,1,0
1994-01-29,1993-94,Sochaux,Cannes,1,1
1994-01-29,1993-94,Strasbourg,Le Havre,0,3
1994-02-04,1993-94,Toulouse,Bordeaux,0,0
1994-02-05,1993-94,Auxerre,Sochaux,1,0
1994-02-05,1993-94,Cannes,Caen,3,0
1994-02-05,1993-94,Le Havre,Montpellier,0,0
1994-02-05,1993-94,Lens,Metz,2,0
1994-02-05,1993-94,Martigues,Lyon,0,1
1994-02-05,1993-94,Nantes,Lille,2,0
1994-02-05,1993-94,Paris SG,Angers,3,0
1994-02-05,1993-94,St Etienne,Marseille,0,0
1994-02-06,1993-94,Monaco,Strasbourg,2,1
1994-02-08,1993-94,Caen,Le Havre,1,1
1994-02-09,1993-94,Angers,Cannes,1,1
1994-02-09,1993-94,Auxerre,Martigues,3,0
1994-02-09,1993-94,Lille,Monaco,1,1
1994-02-09,1993-94,Lyon,Lens,1,2
1994-02-09,1993-94,Marseille,Toulouse,5,1
1994-02-09,1993-94,Metz,Bordeaux,1,0
1994-02-09,1993-94,Montpellier,Paris SG,0,0
1994-02-09,1993-94,Sochaux,St Etienne,3,2
1994-02-09,1993-94,Strasbourg,Nantes,0,3
1994-02-19,1993-94,Cannes,Montpellier,2,0
1994-02-19,1993-94,Le Havre,Metz,0,1
1994-02-19,1993-94,Lens,Auxerre,1,1
