date,season,home_team,away_team,elo_diff,ppg5_diff,gd10_diff,morale_diff,att_vs_def,def_vs_att,streak_diff,h2h_rate,h2h_gd,home_goals,away_goals,outcome
1993-07-23,1993-94,Nantes,Monaco,73.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,1,0,2
1993-07-24,1993-94,Bordeaux,Paris SG,73.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,1,0,2
1993-07-24,1993-94,Caen,Metz,73.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,1,1,1
1993-07-24,1993-94,Lille,Martigues,73.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,1,1,1
1993-07-24,1993-94,Marseille,Lens,73.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,1,0,2
1993-07-24,1993-94,Montpellier,Lyon,73.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,1,1,1
1993-07-24,1993-94,Sochaux,Angers,73.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,4,1,2
1993-07-24,1993-94,St Etienne,Cannes,73.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,1,2,0
1993-07-24,1993-94,Strasbourg,Auxerre,73.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,1,1,1
1993-07-24,1993-94,Toulouse,Le Havre,73.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0,0,1
1993-07-31,1993-94,Paris SG,Lille,61.64529908088707,-1.5,-1.0,-0.08787820888429315,-0.14961173880552692,-0.0029055288112800337,-1,0.5,0.0,2,1,2
1993-07-31,1993-94,Nantes,St Etienne,106.86294361119894,3.0,2.0,0.3,-0.14485319899622096,-0.15383203431029302,1,0.5,0.0,1,0,2
1993-07-31,1993-94,Monaco,Toulouse,61.64529908088707,-1.5,-1.0,-0.08787820888429315,0.0,0.1474827323831931,-1,0.5,0.0,3,0,2
1993-07-31,1993-94,Metz,Angers,93.9923073203197,1.5,3.0,0.15,-0.43619707548212605,-0.003159535233613564,1,0.5,0.0,2,0,2
1993-07-31,1993-94,Lens,Strasbourg,61.64529908088707,-1.5,-1.0,-0.08787820888429315,-0.14961173880552692,-0.0029055288112800337,-1,0.5,0.0,0,0,1
1993-07-31,1993-94,Lyon,Caen,77.14145274104703,0.0,0.0,0.062121791115706836,0.0,0.0,0,0.5,0.0,2,0,2
1993-07-31,1993-94,Le Havre,Bordeaux,61.64529908088707,-1.5,-1.0,-0.08787820888429315,0.0,-0.1474827323831931,0,0.5,0.0,0,3,0
1993-07-31,1993-94,Auxerre,Montpellier,77.14145274104703,0.0,0.0,0.062121791115706836,0.0,0.0,0,0.5,0.0,3,1,2
1993-07-31,1993-94,Martigues,Sochaux,56.149145420727336,-1.5,-3.0,-0.08787820888429315,-0.003936057622559774,-0.43542055309317984,0,0.5,0.0,1,1,1
1993-08-01,1993-94,Cannes,Marseille,80.01208903192605,0.0,0.0,0.06212179111570683,0.29233593137941405,0.006349301927099926,0,0.5,0.0,2,1,2
1993-08-06,1993-94,Lille,Lens,72.1521447477437,0.0,0.0,-0.035808047703675655,0.15256964369289605,0.4269700895780817,-1,0.5,0.0,0,0,1
1993-08-07,1993-94,St Etienne,Monaco,34.433088227903,-1.5,-2.0,-0.27241206942056667,0.005396906638034826,-0.04402884691181441,-1,0.5,0.0,2,0,2
1993-08-07,1993-94,Toulouse,Nantes,25.94902359966909,-2.25,-2.5,-0.3339268156395719,0.0,0.17718541918592856,-2,0.5,0.0,0,3,0
1993-08-07,1993-94,Strasbourg,Paris SG,72.1521447477437,0.0,0.0,-0.03580804770367567,-0.15053577352500036,-0.16681907598612566,1,0.5,0.0,2,2,1
1993-08-07,1993-94,Sochaux,Metz,76.0097525073138,0.0,0.5,-0.024834668880167166,0.5201953229391019,-0.1338553809284173,0,0.5,0.0,2,1,2
1993-08-07,1993-94,Angers,Lyon,20.162770037167775,-2.25,-3.5,-0.33261414398313965,0.0026856049485715072,0.3711269000584838,-2,0.5,0.0,3,1,2
1993-08-07,1993-94,Marseille,Le Havre,99.3079881099502,0.75,1.5,0.12179934729466318,-0.14501979095790873,0.2874235187240053,0,0.5,0.0,1,1,1
1993-08-07,1993-94,Caen,Auxerre,36.05526221996888,-1.5,-2.0,-0.2779493700170822,-0.15346356916687798,-0.14653643083312207,-2,0.5,0.0,1,0,2
1993-08-07,1993-94,Bordeaux,Cannes,80.94119815891122,0.0,1.0,0.016799347294663203,0.28004909520652777,-0.548607664250707,0,0.5,0.0,0,0,1
1993-08-07,1993-94,Montpellier,Martigues,54.05908279052255,-0.75,-1.0,-0.1366846411331149,0.007311773979538749,0.2857610876867054,-2,0.5,0.0,1,0,2
1993-08-10,1993-94,Monaco,Bordeaux,21.144300784516645,-1.5,-1.3333333333333333,-0.25429053657491696,0.37210386069964985,-0.06504977722133765,-3,0.5,0.0,3,2,2
1993-08-11,1993-94,Toulouse,Strasbourg,27.97672220219738,-1.0,-2.0,-0.23547194301059005,-0.4071268337201508,0.3912308044284232,-3,0.5,0.0,0,0,1
1993-08-11,1993-94,Paris SG,Sochaux,41.77133647692949,-1.0,-1.3333333333333333,-0.13380751311164005,0.16143415420731877,-0.3149105662011866,-1,0.5,0.0,1,0,2
1993-08-11,1993-94,Nantes,Marseille,126.40658767803006,1.5,1.6666666666666667,0.35784992989671827,0.2535911573177363,-0.38505139253299414,2,0.5,0.0,0,0,1
1993-08-11,1993-94,Martigues,Caen,62.442152097590906,-0.5,0.0,-0.1656574393333437,-0.11834095832554592,0.12439076327915721,-1,0.5,0.0,4,1,2
1993-08-11,1993-94,Lens,Montpellier,64.02030958891214,-0.5,0.0,-0.07557189360692129,-0.48176237991145454,-0.279946490623615,1,0.5,0.0,2,1,2
1993-08-11,1993-94,Le Havre,St Etienne,63.207066502619455,0.0,-1.0,-0.03925004726039111,-0.1851400798608578,0.10673481066854817,0,0.5,0.0,0,0,1
1993-08-11,1993-94,Cannes,Lille,126.90225403542695,1.5,1.0,0.33677717521829864,0.10339193847173145,0.002351271407630806,2,0.5,0.0,2,1,2
1993-08-11,1993-94,Auxerre,Angers,90.88694961366537,0.5,1.3333333333333333,-0.04296422272111333,-0.34114512932594976,-0.17049184770858372,-1,0.5,0.0,0,0,1
1993-08-11,1993-94,Lyon,Metz,67.47406229015769,0.0,-0.3333333333333333,-0.018812145519781914,0.10849267957840492,0.058385474098626045,0,0.5,0.0,2,0,2
1993-08-14,1993-94,Sochaux,Lyon,76.23972239606405,0.0,0.25,-0.08750590830517782,0.2427106615553447,-0.24786823972252336,-1,0.5,0.0,0,1,0
1993-08-14,1993-94,Strasbourg,Cannes,24.607339384939223,-1.125,-0.75,-0.24771651079650023,-0.010076694183047463,-0.33940442029603335,0,0.5,0.0,2,2,1
1993-08-14,1993-94,St Etienne,Toulouse,109.58193218599968,0.375,1.5,0.2040634581974222,-0.33529095013661436,0.28447743970091643,1,0.5,0.0,2,2,1
1993-08-14,1993-94,Montpellier,Monaco,51.76260466927761,-0.375,-0.75,-0.1680260213885432,-0.16245230683076262,-0.07015677850469193,-1,0.5,0.0,0,3,0
1993-08-14,1993-94,Bordeaux,Nantes,48.824230479078324,-0.75,-0.5,-0.19062559968960888,0.7063522084058013,-0.10623401297538537,-4,0.5,0.0,2,0,2
1993-08-14,1993-94,Lille,Le Havre,68.91400782001483,-0.375,0.25,-0.11674742649873393,-0.07657374176701026,0.4638147745535226,-2,0.5,0.0,2,2,1
1993-08-14,1993-94,Angers,Martigues,55.192315519381054,-0.375,-1.25,0.008985011291574571,-0.004232555426941564,-0.08638063055920275,1,0.5,0.0,1,3,0
1993-08-14,1993-94,Metz,Auxerre,59.53390710915937,-0.375,-0.5,-0.07446438564759983,0.10094866581802298,0.22120862824373355,-1,0.5,0.0,0,0,1
1993-08-14,1993-94,Caen,Lens,49.376051053690844,-0.375,-1.0,-0.18774724506105195,0.1275157636642842,0.6060480113553188,-3,0.5,0.0,1,0,2
1993-08-15,1993-94,Marseille,Paris SG,56.54254633454548,-0.375,-0.25,-0.16635152405123876,-0.1295785476270488,-0.281337651334022,-1,0.5,0.0,1,0,2
1993-08-27,1993-94,Monaco,Marseille,88.40016138766487,0.0,0.6000000000000001,0.08772168565431326,0.7989142771751239,0.11613051507017658,-1,0.5,0.0,0,0,1
1993-08-28,1993-94,Toulouse,Lille,58.90720014383555,0.0,-0.7999999999999999,0.07106946275974367,-0.5164226968674515,0.287107109860703,1,0.5,0.0,1,1,1
1993-08-28,1993-94,St Etienne,Bordeaux,16.99554927899112,-0.8999999999999995,-1.0,-0.14290906819828042,0.19574140577395838,-0.3526954516751284,2,0.5,0.0,0,0,1
1993-08-28,1993-94,Paris SG,Caen,84.65609947722555,0.0,0.6,-0.06518542307395578,-0.23723431752743385,0.07233477383968334,-1,0.5,0.0,2,0,2
1993-08-28,1993-94,Martigues,Metz,117.49162317610308,0.5999999999999996,1.0,0.3196872104916523,0.5614381891117912,0.19778345573515133,1,0.5,0.0,1,1,1
1993-08-28,1993-94,Nantes,Montpellier,147.8000449648605,1.1999999999999997,1.6,0.22154822950629147,-0.5643661716686441,-0.12236579162700656,0,0.5,0.0,0,0,1
1993-08-28,1993-94,Le Havre,Strasbourg,52.224817486139955,-0.2999999999999998,-0.6,-0.006456477408624279,-0.17992014430326642,0.06859597227820657,-2,0.5,0.0,0,1,0
1993-08-28,1993-94,Cannes,Sochaux,122.22592468352809,0.9000000000000004,0.19999999999999996,0.3593339919097792,0.333857481196443,-0.010496695743290818,5,0.5,0.0,1,1,1
1993-08-28,1993-94,Auxerre,Lyon,39.17870670694106,-0.5999999999999996,-0.39999999999999997,-0.2653216223925357,-0.06148689886036807,-0.48353476334200995,0,0.5,0.0,3,2,2
1993-08-28,1993-94,Lens,Angers,95.50068178339461,0.30000000000000027,0.8,0.07845134693427475,-0.7783782948886969,-0.2014622285849812,0,0.5,0.0,0,1,0
1993-08-31,1993-94,Bordeaux,Toulouse,161.64771539044318,0.8999999999999999,1.8333333333333335,0.1684283560976348,-0.1322900530632367,-0.0710117692105603,-1,0.5,0.0,2,0,2
1993-09-01,1993-94,Strasbourg,Monaco,62.053852274050314,-0.2999999999999998,-0.5,0.045898352357341216,0.200540759395465,-0.43403107761417414,3,0.5,0.0,1,1,1
1993-09-01,1993-94,Sochaux,Auxerre,57.2337734299706,-0.5999999999999996,0.0,-0.19497018487517814,0.15038829225256922,-0.15033447132499678,-2,0.5,0.0,1,0,2
1993-09-01,1993-94,Montpellier,Le Havre,74.12038940332695,0.0,-0.16666666666666674,0.07757246622261577,-0.38096413147087993,0.5433339800791975,1,0.5,0.0,2,1,2
1993-09-01,1993-94,Metz,Lens,97.12976604693085,0.0,0.16666666666666666,0.199081504409104,0.009423707716296748,0.38878687284380875,2,0.5,0.0,2,1,2
1993-09-01,1993-94,Lyon,Martigues,67.41782794273809,0.0,-0.3333333333333333,-0.050212846573180855,0.3244065574711197,-0.29250912868480583,-3,0.5,0.0,0,0,1
1993-09-01,1993-94,Lille,Nantes,18.24418093256645,-0.8999999999999999,-0.8333333333333333,-0.012966294307477963,0.4068570185510968,0.4475004063296011,1,0.5,0.0,0,0,1
1993-09-01,1993-94,Caen,Cannes,4.496922431707162,-0.8999999999999995,-1.3333333333333335,-0.14623482440877783,-0.2705661034481093,0.04267906544642952,-6,0.5,0.0,1,1,1
