date,season,home_team,away_team,elo_diff,ppg5_diff,gd10_diff,morale_diff,att_vs_def,def_vs_att,streak_diff,h2h_rate,h2h_gd,home_goals,away_goals,outcome
1993-08-14,1993-94,Arsenal,Coventry,70.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0,3,0
1993-08-14,1993-94,Aston Villa,QPR,70.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,4,1,2
1993-08-14,1993-94,Chelsea,Blackburn,70.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,1,2,0
1993-08-14,1993-94,Liverpool,Sheffield Weds,70.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,2,0,2
1993-08-14,1993-94,Man City,Leeds,70.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,1,1,1
1993-08-14,1993-94,Newcastle,Tottenham,70.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0,1,0
1993-08-14,1993-94,Oldham,Ipswich,70.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0,3,0
1993-08-14,1993-94,Sheffield United,Swindon,70.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,3,1,2
1993-08-14,1993-94,Southampton,Everton,70.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0,2,0
1993-08-14,1993-94,West Ham,Wimbledon,70.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0,2,0
1993-08-15,1993-94,Norwich,Man United,70.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0,2,0
1993-08-16,1993-94,Tottenham,Arsenal,118.90408384891134,3.0,4.0,0.3596380780255541,-0.28771445778076155,0.0,1,0.5,0.0,0,1,0
1993-08-17,1993-94,Wimbledon,Chelsea,115.45536959494575,3.0,3.0,0.3596380780255541,-0.0018227586523305028,-0.15380575123644347,1,0.5,0.0,1,1,1
1993-08-17,1993-94,Leeds,West Ham,97.14596560143195,1.5,2.0,0.2096380780255541,-0.1409384768624422,0.1503727379876596,1,0.5,0.0,1,0,2
1993-08-17,1993-94,Ipswich,Southampton,123.76477358845932,3.0,5.0,0.3596380780255541,0.14334296766953547,0.0,1,0.5,0.0,1,0,2
1993-08-17,1993-94,Everton,Man City,97.14596560143195,1.5,2.0,0.2096380780255541,0.1409384768624422,-0.1503727379876596,0,0.5,0.0,1,0,2
1993-08-18,1993-94,Blackburn,Norwich,115.45536959494575,3.0,3.0,0.3596380780255541,0.0018227586523305028,0.15380575123644347,1,0.5,0.0,2,3,0
1993-08-18,1993-94,Coventry,Newcastle,118.90408384891134,3.0,4.0,0.3596380780255541,0.28771445778076155,0.0,1,0.5,0.0,2,1,2
1993-08-18,1993-94,Man United,Sheffield United,78.34381356113158,0.0,0.0,0.0596380780255541,0.13741307335488573,-0.44054200344031,0,0.5,0.0,3,0,2
1993-08-18,1993-94,QPR,Liverpool,34.066640592699514,-3.0,-5.0,-0.2403619219744459,0.15358483936897227,0.2919659735639044,-1,0.5,0.0,1,3,0
1993-08-18,1993-94,Sheffield Weds,Aston Villa,34.066640592699514,-3.0,-5.0,-0.2403619219744459,-0.15358483936897227,-0.2919659735639044,-1,0.5,0.0,0,0,1
1993-08-18,1993-94,Swindon,Oldham,81.79252781509717,0.0,1.0,0.0596380780255541,-0.2807560410244212,0.44054200344031,0,0.5,0.0,0,1,0
