team,player_name,position,date_of_birth,age,caps,goals,club,squad_status,source_url,retrieved_date
Algeria,Luca Zidane,GK,1998-05-13,28,6,0,Granada,official_squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31
Algeria,Oussama Benbot,GK,1994-10-11,31,2,0,USM Alger,official_squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31
Algeria,Melvin Mastil,GK,2000-02-19,26,1,0,Stade Nyonnais,official_squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31
Algeria,Aïssa Mandi,DF,1991-10-22,34,116,7,Lille,official_squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31
Algeria,Ramy Bensebaini,DF,1995-04-16,31,81,7,Borussia Dortmund,official_squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31
Algeria,Mohamed Amine Tougai,DF,2000-01-22,26,28,2,Espérance de Tunis,official_squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31
Algeria,Rayan Aït-Nouri,DF,2001-06-06,25,27,0,Manchester City,official_squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31
Algeria,Jaouen Hadjam,DF,2003-03-26,23,16,3,Young Boys,official_squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31
Algeria,Rafik Belghali,DF,2002-06-07,24,11,1,Hellas Verona,official_squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31
Algeria,Zineddine Belaïd,DF,1999-03-20,27,9,1,JS Kabylie,official_squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31
Algeria,Achref Abada,DF,1999-06-15,26,6,1,USM Alger,official_squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31
Algeria,Samir Chergui,DF,1999-02-06,27,4,0,Paris FC,official_squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31
Algeria,Nabil Bentaleb,MF,1994-11-24,31,58,6,Lille,official_squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31
Algeria,Ramiz Zerrouki,MF,1998-05-26,28,51,3,Twente,official_squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31
Algeria,Hicham Boudaoui,MF,1999-09-23,26,32,0,Nice,official_squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31
Algeria,Farès Chaïbi,MF,2002-11-28,23,28,3,Eintracht Frankfurt,official_squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31
Algeria,Houssem Aouar,MF,1998-06-30,27,19,6,Al-Ittihad,official_squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31
Algeria,Ibrahim Maza,MF,2005-11-24,20,15,2,Bayer Leverkusen,official_squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31
Algeria,Yacine Titraoui,MF,2003-07-26,22,5,0,Charleroi,official_squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31
Algeria,Riyad Mahrez,FW,1991-02-21,35,113,38,Al-Ahli,official_squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31
Algeria,Mohamed Amoura,FW,2000-05-09,26,44,19,VfL Wolfsburg,official_squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31
Algeria,Amine Gouiri,FW,2000-02-16,26,21,8,Marseille,official_squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31
Algeria,Anis Hadj Moussa,FW,2002-02-11,24,13,0,Feyenoord,official_squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31
Algeria,Adil Boulbina,FW,2003-05-02,23,10,6,Al-Duhail,official_squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31
Algeria,Nadhir Benbouali,FW,2000-04-17,26,2,1,Győr,official_squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31
Algeria,Farès Ghedjemis,FW,2002-09-06,23,1,1,Frosinone,official_squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31
Argentina,Juan Musso,GK,1994-05-06,32,3,0,Atlético Madrid,official_squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31
Argentina,Leonardo Balerdi,DF,1999-01-26,27,11,0,Marseille,official_squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31
Argentina,Nicolás Tagliafico,DF,1992-08-31,33,75,1,Lyon,official_squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31
Argentina,Gonzalo Montiel,DF,1997-01-01,29,38,2,River Plate,official_squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31
Argentina,Leandro Paredes,MF,1994-06-29,31,77,5,Boca Juniors,official_squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31
Argentina,Lisandro Martínez,DF,1998-01-18,28,26,1,Manchester United,official_squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31
Argentina,Rodrigo De Paul,MF,1994-05-24,32,85,2,Inter Miami CF,official_squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31
Argentina,Valentín Barco,MF,2004-07-23,21,2,1,Strasbourg,official_squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31
