team,player,position,caps,club
Uruguay,Fernando Muslera,GK,134,Estudiantes
Uruguay,Santiago Mele,GK,8,Monterrey
Uruguay,Sergio Rochet,GK,35,Internacional
Uruguay,Guillermo Varela,DF,28,Flamengo
Uruguay,Ronald Araújo,DF,27,Barcelona
Uruguay,Sebastían Cáceres,DF,24,América
Uruguay,Matías Viña,DF,43,River Plate
Uruguay,Joaquín Piquerez,DF,19,Palmeiras
Uruguay,Maximiliano Araújo,DF,28,Sporting CP
Uruguay,Mathías Olivera,DF,35,Napoli
Uruguay,Santiago Bueno,DF,8,Wolverhampton Wanderers
Uruguay,José Giménez,DF,99,Atlético Madrid
Uruguay,Federico Valverde,MF,73,Real Madrid
Uruguay,Giorgian De Arrascaeta,MF,60,Flamengo
Uruguay,Rodrigo Bentancur,MF,74,Tottenham Hotspur
Uruguay,Manuel Ugarte,MF,36,Manchester United
Uruguay,Brian Rodríguez,MF,32,América
Uruguay,Rodrigo Zalazar,MF,8,Braga
Uruguay,Facundo Pellistri,MF,39,Panathinaikos
Uruguay,Emiliano Martínez,MF,10,Palmeiras
Uruguay,Juan Sanabria,MF,0,
Uruguay,Nicolas de la Cruz,MF,34,Flamengo
Uruguay,Rodrigo Aguirre,FW,10,UANL
Uruguay,Darwin Núñez,FW,38,Al-Hilal
Uruguay,Agustín Canobbio,FW,15,Fluminense
Uruguay,Federico Viñas,FW,11,Oviedo
Germany,Oliver Baumann,GK,13,TSG Hoffenheim
Germany,Manuel Neuer,GK,124,Bayern Munich
Germany,Alexander Nübel,GK,3,VfB Stuttgart
Germany,Jonathan Tah,DF,47,Bayern Munich
Germany,Waldemar Anton,DF,13,Borussia Dortmund
Germany,Antonio Rüdiger,DF,82,Real Madrid
Germany,David Raum,DF,37,RB Leipzig
Germany,Nico Schlotterbeck,DF,27,Borussia Dortmund
Germany,Malick Thiaw,DF,5,Newcastle United
Germany,Nathaniel Brown,DF,5,Eintracht Frankfurt
Germany,Nadiem Amiri,MF,11,Mainz 05
Germany,Joshua Kimmich,MF,110,Bayern Munich
Germany,Leon Goretzka,MF,70,Bayern Munich
Germany,Pascal Groß,MF,18,Brighton & Hove Albion
Germany,Florian Wirtz,MF,41,Liverpool
Germany,Felix Kalu Nmecha,MF,0,
Germany,Angelo Stiller,MF,8,VfB Stuttgart
Germany,Jamal Musiala,MF,42,Bayern Munich
Germany,Aleksandar Pavlović,MF,11,Bayern Munich
Germany,Assan Ouédraogo,MF,1,RB Leipzig
Germany,Kai Havertz,FW,58,Arsenal
Germany,Leroy Sané,FW,76,Galatasaray
Germany,Deniz Undav,FW,9,VfB Stuttgart
Germany,Jamie Leweling,FW,5,VfB Stuttgart
Germany,Nick Woltemade,FW,11,Newcastle United
Germany,Maximilian Beier,FW,9,Borussia Dortmund
Spain,David Raya,GK,13,Arsenal
Spain,Unai Simón,GK,58,Athletic Bilbao
Spain,Joan García,GK,2,Barcelona
Spain,Aymeric Laporte,DF,46,Athletic Bilbao
Spain,Cucurella,DF,0,
Spain,Alejandro Grimaldo,DF,0,
Spain,Pedro Porro,DF,18,Tottenham Hotspur
Spain,Eric García,DF,21,Barcelona
Spain,Marc Pubill,DF,2,Atlético Madrid
Spain,Pau Cubarsí,DF,12,Barcelona
Spain,Fabián Ruiz,MF,42,Paris Saint-Germain
Spain,Marcos Llorente,MF,24,Atlético Madrid
Spain,Rodri,MF,62,Manchester City
Spain,Mikel Merino,MF,43,Arsenal
Spain,Dani Olmo,MF,50,Barcelona
Spain,Ferrán Torres,MF,57,Barcelona
Spain,Martín Zubimendi,MF,26,Arsenal
Spain,Pedri,MF,41,Barcelona
Spain,Pablo Gavira,MF,0,
Spain,Mikel Oyarzabal,MF,53,Real Sociedad
Spain,Álex Baena,MF,17,Atlético Madrid
Spain,Borja Iglesias,FW,8,Celta Vigo
Spain,Yeremi Pino,FW,0,
Spain,Nico Williams,FW,30,Athletic Bilbao
Spain,Lamine Yamal,FW,25,Barcelona
Spain,Víctor Muñoz,FW,2,Osasuna
Paraguay,Gastón Olveira,GK,1,Olimpia
Paraguay,Roberto Fernández,GK,0,
Paraguay,Orlando Gill,GK,6,San Lorenzo
Paraguay,Fabián Balbuena,DF,48,Grêmio
Paraguay,Gustavo Gómez,DF,89,Palmeiras
Paraguay,Júnior Alonso,DF,71,Atlético Mineiro
Paraguay,Omar Alderete,DF,36,Sunderland
