team,player,position,caps,club,club_elo,match_type
Uruguay,Fernando Muslera,GK,134,Estudiantes,1398.90234375,unmatched
Uruguay,Santiago Mele,GK,8,Monterrey,1620.0,curated
Uruguay,Sergio Rochet,GK,35,Internacional,1670.0,curated
Uruguay,Guillermo Varela,DF,28,Flamengo,1800.0,curated
Uruguay,Ronald Araújo,DF,27,Barcelona,1951.58874512,exact
Uruguay,Sebastían Cáceres,DF,24,América,1640.0,curated
Uruguay,Matías Viña,DF,43,River Plate,1740.0,curated
Uruguay,Joaquín Piquerez,DF,19,Palmeiras,1790.0,curated
Uruguay,Maximiliano Araújo,DF,28,Sporting CP,1847.92749023,exact
Uruguay,Mathías Olivera,DF,35,Napoli,1780.29589844,exact
Uruguay,Santiago Bueno,DF,8,Wolverhampton Wanderers,1679.69335938,exact
Uruguay,José Giménez,DF,99,Atlético Madrid,1827.67541504,exact
Uruguay,Federico Valverde,MF,73,Real Madrid,1922.91210938,exact
Uruguay,Giorgian De Arrascaeta,MF,60,Flamengo,1800.0,curated
Uruguay,Rodrigo Bentancur,MF,74,Tottenham Hotspur,1777.30895996,exact
Uruguay,Manuel Ugarte,MF,36,Manchester United,1915.31604004,exact
Uruguay,Brian Rodríguez,MF,32,América,1640.0,curated
Uruguay,Rodrigo Zalazar,MF,8,Braga,1698.91113281,exact
Uruguay,Facundo Pellistri,MF,39,Panathinaikos,1546.63842773,exact
Uruguay,Emiliano Martínez,MF,10,Palmeiras,1790.0,curated
Uruguay,Juan Sanabria,MF,0,,1398.90234375,unmatched
Uruguay,Nicolas de la Cruz,MF,34,Flamengo,1800.0,curated
Uruguay,Rodrigo Aguirre,FW,10,UANL,1398.90234375,unmatched
Uruguay,Darwin Núñez,FW,38,Al-Hilal,1700.0,curated
Uruguay,Agustín Canobbio,FW,15,Fluminense,1700.0,curated
Uruguay,Federico Viñas,FW,11,Oviedo,1557.96911621,exact
Germany,Oliver Baumann,GK,13,TSG Hoffenheim,1700.35375977,exact
Germany,Manuel Neuer,GK,124,Bayern Munich,2000.87023926,exact
Germany,Alexander Nübel,GK,3,VfB Stuttgart,1763.83459473,exact
Germany,Jonathan Tah,DF,47,Bayern Munich,2000.87023926,exact
Germany,Waldemar Anton,DF,13,Borussia Dortmund,1834.76867676,exact
Germany,Antonio Rüdiger,DF,82,Real Madrid,1922.91210938,exact
Germany,David Raum,DF,37,RB Leipzig,1761.90344238,token
Germany,Nico Schlotterbeck,DF,27,Borussia Dortmund,1834.76867676,exact
Germany,Malick Thiaw,DF,5,Newcastle United,1837.53125,exact
Germany,Nathaniel Brown,DF,5,Eintracht Frankfurt,1663.77978516,exact
Germany,Nadiem Amiri,MF,11,Mainz 05,1671.92553711,token
Germany,Joshua Kimmich,MF,110,Bayern Munich,2000.87023926,exact
Germany,Leon Goretzka,MF,70,Bayern Munich,2000.87023926,exact
Germany,Pascal Groß,MF,18,Brighton & Hove Albion,1842.01049805,token
Germany,Florian Wirtz,MF,41,Liverpool,1910.79907227,exact
Germany,Felix Kalu Nmecha,MF,0,,1398.90234375,unmatched
Germany,Angelo Stiller,MF,8,VfB Stuttgart,1763.83459473,exact
Germany,Jamal Musiala,MF,42,Bayern Munich,2000.87023926,exact
Germany,Aleksandar Pavlović,MF,11,Bayern Munich,2000.87023926,exact
Germany,Assan Ouédraogo,MF,1,RB Leipzig,1761.90344238,token
Germany,Kai Havertz,FW,58,Arsenal,2063.75805664,exact
Germany,Leroy Sané,FW,76,Galatasaray,1684.27075195,exact
Germany,Deniz Undav,FW,9,VfB Stuttgart,1763.83459473,exact
Germany,Jamie Leweling,FW,5,VfB Stuttgart,1763.83459473,exact
Germany,Nick Woltemade,FW,11,Newcastle United,1837.53125,exact
Germany,Maximilian Beier,FW,9,Borussia Dortmund,1834.76867676,exact
Spain,David Raya,GK,13,Arsenal,2063.75805664,exact
Spain,Unai Simón,GK,58,Athletic Bilbao,1677.90075684,exact
Spain,Joan García,GK,2,Barcelona,1951.58874512,exact
Spain,Aymeric Laporte,DF,46,Athletic Bilbao,1677.90075684,exact
Spain,Cucurella,DF,0,,1398.90234375,unmatched
Spain,Alejandro Grimaldo,DF,0,,1398.90234375,unmatched
Spain,Pedro Porro,DF,18,Tottenham Hotspur,1777.30895996,exact
Spain,Eric García,DF,21,Barcelona,1951.58874512,exact
Spain,Marc Pubill,DF,2,Atlético Madrid,1827.67541504,exact
Spain,Pau Cubarsí,DF,12,Barcelona,1951.58874512,exact
Spain,Fabián Ruiz,MF,42,Paris Saint-Germain,1629.32714844,token
Spain,Marcos Llorente,MF,24,Atlético Madrid,1827.67541504,exact
Spain,Rodri,MF,62,Manchester City,1970.85388184,exact
Spain,Mikel Merino,MF,43,Arsenal,2063.75805664,exact
Spain,Dani Olmo,MF,50,Barcelona,1951.58874512,exact
Spain,Ferrán Torres,MF,57,Barcelona,1951.58874512,exact
Spain,Martín Zubimendi,MF,26,Arsenal,2063.75805664,exact
Spain,Pedri,MF,41,Barcelona,1951.58874512,exact
Spain,Pablo Gavira,MF,0,,1398.90234375,unmatched
Spain,Mikel Oyarzabal,MF,53,Real Sociedad,1669.46557617,exact
Spain,Álex Baena,MF,17,Atlético Madrid,1827.67541504,exact
Spain,Borja Iglesias,FW,8,Celta Vigo,1700.77734375,token
Spain,Yeremi Pino,FW,0,,1398.90234375,unmatched
Spain,Nico Williams,FW,30,Athletic Bilbao,1677.90075684,exact
Spain,Lamine Yamal,FW,25,Barcelona,1951.58874512,exact
Spain,Víctor Muñoz,FW,2,Osasuna,1650.25817871,exact
Paraguay,Gastón Olveira,GK,1,Olimpia,1560.0,curated
Paraguay,Roberto Fernández,GK,0,,1398.90234375,unmatched
Paraguay,Orlando Gill,GK,6,San Lorenzo,1398.90234375,unmatched
Paraguay,Fabián Balbuena,DF,48,Grêmio,1670.0,curated
Paraguay,Gustavo Gómez,DF,89,Palmeiras,1790.0,curated
Paraguay,Júnior Alonso,DF,71,Atlético Mineiro,1700.0,curated
Paraguay,Omar Alderete,DF,36,Sunderland,1735.93017578,exact
Paraguay,Juan Cáceres,DF,0,,1398.90234375,unmatched
Paraguay,Gustavo Velázquez,DF,13,Cerro Porteño,1560.0,curated
Paraguay,José Canale,DF,2,Lanús,1640.0,curated
Paraguay,Alexandro Maidana,DF,2,Talleres,1398.90234375,unmatched
Paraguay,Andrés Cubas,MF,33,Vancouver Whitecaps FC,1398.90234375,unmatched
Paraguay,Kaku,MF,33,Al Ain,1398.90234375,unmatched
Paraguay,Miguel Almirón,MF,76,Atlanta United FC,1398.90234375,unmatched
Paraguay,Mauricio,MF,3,Palmeiras,1790.0,curated
Paraguay,Braian Ojeda,MF,17,Orlando City SC,1398.90234375,unmatched
Paraguay,Matías Galarza,MF,15,Atlanta United FC,1398.90234375,unmatched
Paraguay,Damian Bobadilla,MF,19,São Paulo,1690.0,curated
Paraguay,Diego Gómez,MF,24,Brighton & Hove Albion,1842.01049805,token
Paraguay,Antonio Sanabria,FW,48,Cremonese,1531.55664062,exact
Paraguay,Gabriel Ávalos,FW,23,Independiente,1398.90234375,unmatched
Paraguay,Isidro Pitta,FW,5,Red Bull Bragantino,1398.90234375,unmatched
Paraguay,Ramón Sosa,FW,29,Palmeiras,1790.0,curated
Paraguay,Julio Enciso,FW,32,Strasbourg,1710.80419922,exact
Paraguay,Gustavo Caballero,FW,2,Portsmouth,1499.31567383,exact
Paraguay,Alex Arce,FW,15,Independiente Rivadavia,1398.90234375,unmatched
Argentina,Géronimo Rulli,GK,7,Marseille,1716.74267578,exact
Argentina,Emiliano Martínez,GK,59,Aston Villa,1920.97021484,exact
