date,home_team,away_team,tournament,neutral,elo_diff,ppg5_diff,gd10_diff,morale_diff,rest_diff,att_vs_def,def_vs_att,streak_diff,exp_diff,h2h_rate,h2h_gd,heat_diff,hum_diff,alt_diff,travel_diff,tz_east_diff,is_wc,home_goals,away_goals,outcome
1980-01-06,Sierra Leone,Ghana,Friendly,0,-258.088036185713,0.2999999999999998,-1.2,0.7280646045897425,0,0.026316998325399577,0.547514705499714,3,-4.967248134693837,0.375,-1.0,-0.003534365337294787,0,-0.06,-1.3211562013709621,0.0,0,2,4,0
1980-01-16,Cyprus,Greece,Friendly,0,-498.2470276947861,-0.9000000000000001,-2.6,-0.18476100770002252,-22,-0.7638716558894408,0.41320070811911513,-2,7.99167910648192,0.25,-0.6666666666666666,-1.5060914588395846,0,0.0,-1.0257499503404355,-0.6843318048691552,0,1,1,1
1980-01-19,Congo,Ivory Coast,Friendly,0,15.738623234319903,0.0,-1.1,0.4178453016149287,-9,0.5325580466804722,-0.27313183659946816,2,-0.8904507478202532,0.45,-0.1,-2.7446962941668147,0,-0.08,-2.204291711586827,-1.2593155232994264,0,2,0,2
1980-01-20,Congo,Ivory Coast,Friendly,0,55.81085095428966,0.6000000000000005,-0.7,0.5789111793882219,0,0.5095081388137739,-0.23216206110954785,3,-0.8637372253856466,0.45,0.0,-2.7446962941668147,0,-0.08,-2.204291711586827,-1.2593155232994264,0,0,2,0
1980-01-23,Spain,Netherlands,Friendly,0,-139.11056140400729,-1.2000000000000002,-0.3,-0.43829420577326916,-15,0.693755539978206,-1.2434966326474057,-4,-3.3755098328137656,0.6666666666666666,1.6666666666666667,-11.0,0,-0.66,-1.4810107517557975,0.0,0,1,0,2
1980-01-26,Nigeria,Liberia,Friendly,0,335.26189573912575,0.0,0.7,-0.5415701596385087,0,0.7556958771668298,-0.7949216947400932,-1,8.664461623396125,0.8,1.2,0.0,0,0.0,-1.9465669728171955,-1.160446918716921,0,1,0,2
1980-01-27,Ghana,Tunisia,Friendly,0,21.545558194344494,0.0,0.19999999999999998,-0.1410346626956746,-11,0.6474279382282707,-0.4083546049570914,-1,-5.084101414713789,0.8333333333333334,0.6666666666666666,0.0,-2,-0.03,-3.6272445115933096,0.0,0,4,1,2
1980-01-27,Cameroon,Ivory Coast,Friendly,0,31.594911688040384,0.0,-0.8999999999999999,0.1180988095398928,52,0.5161459630423033,-0.30959832099678253,0,-2.952988208967879,1.0,1.0,-0.7970410293816528,0,-0.08,-1.8787337147432843,-1.1305649428265516,0,1,1,1
1980-01-27,Australia,Czechoslovakia,Friendly,0,-122.57923967168085,-1.7999999999999998,-1.0,-0.37416423665182996,0,0.23414439563166367,-1.318123062520318,-1,2.420550971974391,0.5,0.0,0.0,0,0.0,-1.0,0.0,0,0,4,0
1980-01-30,Ivory Coast,Tunisia,Friendly,0,-87.05156038165433,0.2999999999999998,1.3,0.21187843163461723,0,0.4227424089179477,-0.5411851752357293,2,-0.47229464105028285,0.625,0.5,0.0,-2,-0.01,-3.7836292118792803,0.0,0,1,1,1
1980-01-30,Saudi Arabia,South Korea,Friendly,0,-381.6411104691206,-1.2000000000000002,-3.0999999999999996,0.1466221910971174,0,0.8800402373599634,-3.0123780532968594,-5,-1.5147634916617863,0.5,0.0,-15.0,0,-0.57,-7.550295885061931,0.0,0,1,3,0
1980-02-01,Congo,Gabon,Friendly,0,199.417617842234,0.5999999999999996,0.6000000000000001,0.11165577827617323,-48,-0.33721532321847825,-0.10538706683376287,0,12.320081823195665,0.6,0.2,0.0,0,0.0,-0.3382310618088651,-0.20268813006304262,0,3,0,2
1980-02-01,Saudi Arabia,South Korea,Friendly,0,-390.03799074216795,-1.7999999999999998,-3.3,0.04261815715400702,0,0.8272713830120236,-2.798232889070495,-6,-1.469320586911933,0.0,-2.0,-15.0,0,-0.57,-7.550295885061931,0.0,0,0,0,1
1980-02-02,Nigeria,Cameroon,Friendly,0,189.42926492902689,0.0,1.2000000000000002,-0.09685790549801307,1,0.36505600331591737,-0.8516742587405377,4,1.2077182541722138,0.8125,0.75,0.0,0,0.0,-0.6445078481281946,0.0,0,0,0,1
1980-02-03,Australia,Czechoslovakia,Friendly,0,-157.08297672761432,-2.4000000000000004,-2.0,-0.4602550194175995,0,0.19902273628691414,-1.4780048063327669,-2,2.347934442815161,0.0,-4.0,0.0,0,0.0,-1.0,0.0,0,0,5,0
